%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666091900947315875,0.0,0.0,0.0,0.0,0.0,0.0
1666091900967238713,0.0,0.0,0.0,0.0,0.0,0.0
1666091900987260731,0.0,0.0,0.0,0.0,0.0,0.0
1666091901007200037,0.0,0.0,0.0,0.0,0.0,0.0
1666091901027245122,0.0,0.0,0.0,0.0,0.0,0.0
1666091901047237809,0.0,0.0,0.0,0.0,0.0,0.0
1666091901067251022,0.0,0.0,0.0,0.0,0.0,0.0
1666091901088181935,0.0,0.0,0.0,0.0,0.0,0.0
1666091901107216380,0.0,0.0,0.0,0.0,0.0,0.0
1666091901148087460,0.0,0.0,0.0,0.0,0.0,0.0
1666091901148103579,0.0,0.0,0.0,0.0,0.0,0.0
1666091901192061775,0.0,0.0,0.0,0.0,0.0,0.0
1666091901192081213,0.0,0.0,0.0,0.0,0.0,0.0
1666091901236050284,0.0,0.0,0.0,0.0,0.0,0.0
1666091901236060086,0.0,0.0,0.0,0.0,0.0,0.0
1666091901284224023,0.0,0.0,0.0,0.0,0.0,0.0
1666091901284234491,0.0,0.0,0.0,0.0,0.0,0.0
1666091901328295768,0.0,0.0,0.0,0.0,0.0,0.0
1666091901328306768,0.0,0.0,0.0,0.0,0.0,0.0
1666091901328313739,0.0,0.0,0.0,0.0,0.0,0.0
1666091901372389656,0.0,0.0,0.0,0.0,0.0,0.0
1666091901372404570,0.0,0.0,0.0,0.0,0.0,0.0
1666091901388025189,0.0,0.0,0.0,0.0,0.0,0.0
1666091901408025046,0.0,0.0,0.0,0.0,0.0,0.0
1666091901448075544,0.0,0.0,0.0,0.0,0.0,0.0
1666091901448084839,0.0,0.0,0.0,0.0,0.0,0.0
1666091901492063375,0.0,0.0,0.0,0.0,0.0,0.0
1666091901492079383,0.0,0.0,0.0,0.0,0.0,0.0
1666091901536051609,0.0,0.0,0.0,0.0,0.0,0.0
1666091901536059049,0.0,0.0,0.0,0.0,0.0,0.0
1666091901580055699,0.0,0.0,0.0,0.0,0.0,0.0
1666091901580068767,0.0,0.0,0.0,0.0,0.0,0.0
1666091901628054446,0.0,0.0,0.0,0.0,0.0,0.0
1666091901628065311,0.002132302208337933,0.0,0.0,0.0,0.0,-0.005061454830783556
1666091901628072979,0.002132302208337933,0.0,0.0,0.0,0.0,-0.0006981317007977319
1666091901676038273,0.002132302208337933,0.0,0.0,0.0,0.0,0.0
1666091901676049189,0.0,0.0,0.0,0.0,0.0,0.0
1666091901687919135,0.0,0.0,0.0,0.0,0.0,0.0
1666091901707902128,0.0,0.0,0.0,0.0,0.0,-0.012391837689159739
1666091901748030907,0.0,0.0,0.0,0.0,0.0,-0.011693705988362009
1666091901748039288,0.0,0.0,0.0,0.0,0.0,0.0
1666091901792030687,0.0,0.0,0.0,0.0,0.0,0.0
1666091901792040569,0.0,0.0,0.0,0.0,0.0,0.0
1666091901840025281,0.0,0.0,0.0,0.0,0.0,0.0
