%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666091995919853917,0.5155342817306519,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996035781314,0.5105511546134949,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996128810938,0.508452832698822,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996207798999,0.5049628615379333,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996302976366,0.38226860761642456,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996347738865,0.3825191557407379,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996402510718,0.4908038675785064,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996463979275,0.4849093556404113,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091996554375101,0.48083433508872986,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091996641734747,0.35356923937797546,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091996740891717,0.46756854653358454,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091996809741558,0.46410512924194336,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091996858893408,0.46073454618453974,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091996991787982,0.4591704905033111,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091997063422127,0.45345184206962585,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091997154132899,0.4492928087711334,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091997285983691,0.32594856619834894,0.0,0.0,0.0,0.0,-0.8726646259971653
1666091997328178832,0.43660297989845276,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091997409164521,0.4289700388908386,0.0,0.0,0.0,0.0,-0.8726646259971653
1666091997494024584,0.3022320568561554,0.0,0.0,0.0,0.0,-0.8726646259971653
1666091997545210556,0.3020898997783661,0.0,0.0,0.0,0.0,-0.8726646259971653
1666091997587897369,0.30059242248535156,0.0,0.0,0.0,0.0,-0.8726646259971653
1666091997665561497,0.29613348841667175,0.0,0.0,0.0,0.0,-0.6981317007977323
1666091997798421002,0.0,0.0,0.0,0.0,0.0,-0.569803669346136
1666091997877099414,0.0,0.0,0.0,0.0,0.0,-0.5309208784694494
1666091997888635642,0.0,0.0,0.0,0.0,0.0,-0.49026756855630743
1666091998012151364,0.0,0.0,0.0,0.0,0.0,-0.4499587246709379
1666091998061079282,0.0,0.0,0.0,0.0,0.0,-0.4471928111525876
1666091998119793708,0.0,0.0,0.0,0.0,0.0,-0.40603565524060564
1666091998229168937,0.0,0.0,0.0,0.0,0.0,-0.33142578919274523
1666091998315426269,0.0,0.0,0.0,0.0,0.0,-0.28923643883223815
1666091998324471826,0.0,0.0,0.0,0.0,0.0,-0.2870469809977937
1666091998419566042,0.0,0.0,0.0,0.0,0.0,-0.22170268923419245
1666091998485543707,0.0,0.0,0.0,0.0,0.0,-0.2212742832098898
1666091998530682254,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091998693033283,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091998729325627,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091998781049197,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091998858705336,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091998949460895,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091999044483341,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091999139750029,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091999201570420,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091999295529125,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091999381818353,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091999424810112,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666091999503167836,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091999633692422,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091999754679943,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091999764894500,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666091999802779968,0.0,0.0,0.0,0.0,0.0,-0.2164544254123019
1666091999890219465,0.0,0.0,0.0,0.0,0.0,-0.23451507510595937
1666092000022049640,0.0,0.0,0.0,0.0,0.0,-0.28416183227691577
1666092000079504669,0.0,0.0,0.0,0.0,0.0,-0.3101633397916738
1666092000080893170,0.0,0.0,0.0,0.0,0.0,-0.3050901429060403
1666092000189537039,0.0,0.0,0.0,0.0,0.0,-0.39553681584843253
1666092000241839635,0.0,0.0,0.0,0.0,0.0,-0.42709432984474144
1666092000321428923,0.0,0.0,0.0,0.0,0.0,-0.45957601358214634
1666092000411023360,0.0,0.0,0.0,0.0,0.0,-0.5013282078364706
1666092000541061348,0.4074290096759796,0.0,0.0,0.0,0.0,-0.15840958058834076
1666092000582921132,0.4245282709598541,0.0,0.0,0.0,0.0,-0.16565342247486115
1666092000642326911,0.43523043394088745,0.0,0.0,0.0,0.0,-0.17201240360736847
1666092000711344480,0.44004914164543146,0.0,0.0,0.0,0.0,-0.17700068652629852
1666092000800265080,0.4445173144340515,0.0,0.0,0.0,0.0,-0.6981317007977323
1666092000888617821,0.36632972955703735,0.0,0.0,0.0,0.0,-0.09214477241039276
1666092000942911562,0.38638260960578913,0.0,0.0,0.0,0.0,-0.10491405427455902
1666092001010221569,0.3934292197227478,0.0,0.0,0.0,0.0,-0.11327728629112244
1666092001142858278,0.49884650111198425,0.0,0.0,0.0,0.0,-0.21739459037780762
1666092001245143465,0.5041025280952454,0.0,0.0,0.0,0.0,-0.21944372355937958
1666092001273079822,0.5036760568618774,0.0,0.0,0.0,0.0,-0.21895502507686615
1666092001353198188,0.5071691274642944,0.0,0.0,0.0,0.0,-0.2205592691898346
1666092001439676754,0.4173780679702759,0.0,0.0,0.0,0.0,-0.12891767919063568
1666092001571085059,0.5255122184753418,0.0,0.0,0.0,0.0,-0.2256450355052948
1666092001604398495,0.5410287380218506,0.0,0.0,0.0,0.0,-0.23061969876289368
1666092001699207502,0.5513564944267273,0.0,0.0,0.0,0.0,-0.2353965938091278
1666092001784348829,0.5751064419746399,0.0,0.0,0.0,0.0,-0.2509385645389557
1666092001830031520,0.5750353336334229,0.0,0.0,0.0,0.0,-0.25090017914772034
1666092001874045156,0.49493345618247986,0.0,0.0,0.0,0.0,-0.17567375302314758
1666092001958881462,0.5963451862335204,0.0,0.0,0.0,0.0,-0.26464298367500305
1666092002004163674,0.604339063167572,0.0,0.0,0.0,0.0,-0.2697845995426178
1666092002093186649,0.6229832172393799,0.0,0.0,0.0,0.0,-0.28119879961013794
1666092002171063711,0.6286956667900085,0.0,0.0,0.0,0.0,-0.28812387585639954
1666092002211504200,0.632080614566803,0.0,0.0,0.0,0.0,-0.29496607184410095
1666092002300344593,0.6305708289146423,0.0,0.0,0.0,0.0,-0.30076175928115845
1666092002380025708,0.5380785465240479,0.0,0.0,0.0,0.0,-0.24120564758777618
1666092002436577115,0.6182088851928711,0.0,0.0,0.0,0.0,-0.3490658503988664
1666092002443905489,0.618564248085022,0.0,0.0,0.0,0.0,-0.3490658503988664
1666092002514526471,0.6020155549049377,0.0,0.0,0.0,0.0,-0.3490658503988664
1666092002609357733,0.5869771242141724,0.0,0.0,0.0,0.0,-0.5235987755982994
1666092002654177276,0.5750486254692078,0.0,0.0,0.0,0.0,-0.6981317007977323
1666092002731283035,0.5626763105392456,0.0,0.0,0.0,0.0,-0.8726646259971653
1666092002785449020,0.5575793385505676,0.0,0.0,0.0,0.0,-1.0471975511965983
1666092002917383770,0.5518857240676879,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092002924020276,0.5427272319793701,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003034382471,0.4163239300251007,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003078005104,0.5254939198493958,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003165409591,0.5205153822898865,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003237543446,0.5092983841896057,0.0,0.0,0.0,0.0,-1.3962634015954642
1666092003251569116,0.509440541267395,0.0,0.0,0.0,0.0,-1.3962634015954642
1666092003326609366,0.5116127729415894,0.0,0.0,0.0,0.0,-1.3962634015954642
1666092003420199737,0.3965354263782501,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003504595003,0.5244151949882507,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003550512397,0.5394554138183594,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003592883138,0.44626399874687195,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003674781955,0.5802229046821593,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003763830103,0.6002519726753235,0.0,0.0,0.0,0.0,-1.2217304763960313
1666092003844239632,0.5487139821052551,0.0,0.0,0.0,0.0,-1.0471975511965983
1666092003916123601,0.5724403262138367,0.0,0.0,0.0,0.0,-1.0471975511965983
1666092003927077451,0.571303129196167,0.0,0.0,0.0,0.0,-1.0471975511965983
1666092004016293987,0.679448664188385,0.0,0.0,0.0,0.0,-0.8726646259971653
1666092004119623097,0.7119623422622681,0.0,0.0,0.0,0.0,-0.8726646259971653
1666092004168228377,0.7116779685020446,0.0,0.0,0.0,0.0,-0.8726646259971653
1666092004232549425,0.7293537855148315,0.0,0.0,0.0,0.0,-0.6981317007977323
1666092004319312145,0.710571825504303,0.0,0.0,0.0,0.0,-0.5235987755982994
1666092004365353689,0.7102164030075072,0.0,0.0,0.0,0.0,-0.5235987755982994
1666092004407553697,0.7720308303833008,0.0,0.0,0.0,0.0,-0.5235987755982994
1666092004514486050,0.7853002548217773,0.0,0.0,0.0,0.0,-0.3490658503988664
1666092004531281935,0.7844473719596862,0.0,0.0,0.0,0.0,-0.3490658503988664
1666092004651624183,0.7471942901611328,0.0,0.0,0.0,0.0,-0.3490658503988664
1666092004714159259,0.7733262777328491,0.0,0.0,0.0,0.0,-0.3490658503988664
1666092004789413322,0.7493374943733215,0.0,0.0,0.0,0.0,-0.17453292519943345
1666092004829720474,0.7491953372955322,0.0,0.0,0.0,0.0,-0.17453292519943345
1666092004960762319,0.7166470289230347,0.0,0.0,0.0,0.0,-0.17453292519943345
1666092005051401159,0.6701961755752562,0.0,0.0,0.0,0.0,-0.17453292519943345
1666092005091804816,0.6710491180419921,0.0,0.0,0.0,0.0,-0.17453292519943345
1666092005105816052,0.6401090621948242,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092005211310386,0.6100922226905823,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092005255014819,0.5824674963951111,0.0,0.0,0.0,0.0,-0.050455886870622635
1666092005386413801,0.5561373829841614,0.0,0.0,0.0,0.0,-0.0474473237991333
1666092005445597798,0.5318537354469299,0.0,0.0,0.0,0.0,-0.04558231309056282
1666092005506992550,0.5058013200759888,0.0,0.0,0.0,0.0,-0.04397241398692131
1666092005596220266,0.479561448097229,0.0,0.0,0.0,0.0,-0.04253343492746353
1666092005687295974,0.45668765902519226,0.0,0.0,0.0,0.0,0.07497631013393402
1666092005732417428,0.408310055732727,0.0,0.0,0.0,0.0,-0.04334235191345215
1666092005808477040,0.3927052617073059,0.0,0.0,0.0,0.0,0.07919017225503922
1666092005894744541,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092005980757857,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006070121849,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006150083598,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006241131985,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006289326644,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006408984915,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006497298117,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006585364692,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006629269731,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006704568803,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006793504768,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666092006837654576,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666092006927215152,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666092007027789968,0.4036242663860321,0.0,0.0,0.0,0.0,-0.02357698231935501
1666092007094311941,0.40369537472724915,0.0,0.0,0.0,0.0,-0.02357698231935501
1666092007142722717,0.45672762393951416,0.0,0.0,0.0,0.0,0.1023208424448967
1666092007211976298,0.4414549767971039,0.0,0.0,0.0,0.0,-0.009208076633512974
1666092007299743806,0.46715328097343445,0.0,0.0,0.0,0.0,0.0004798811278305948
1666092007403878207,0.49863237142562866,0.0,0.0,0.0,0.0,0.018021944910287857
1666092007434392134,0.4982770085334778,0.0,0.0,0.0,0.0,0.018112700432538986
1666092007514396008,0.5098288059234619,0.0,0.0,0.0,0.0,0.02643979899585247
1666092007608892034,0.5672412514686584,0.0,0.0,0.0,0.0,0.13874264061450958
1666092007650905215,0.5312184691429138,0.0,0.0,0.0,0.0,0.04277407377958298
1666092007727100160,0.5370484590530396,0.0,0.0,0.0,0.0,0.04992182180285454
1666092007818613329,0.5460199117660522,0.0,0.0,0.0,0.0,0.05706973373889923
1666092007907099568,0.6062772870063782,0.0,0.0,0.0,0.0,0.16303791105747223
