%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666090393688776886,0.004264604416675866,0.0,0.0,0.0,0.0,0.0
1666090393708718133,0.002132302208337933,0.0,0.0,0.0,0.0,0.0
1666090393728740278,0.0,0.0,0.0,0.0,0.0,0.0
1666090393748688545,0.0,0.0,0.0,0.0,0.0,0.0
1666090393768684578,0.0,0.0,0.0,0.0,0.0,0.0
1666090393789662738,0.0,0.0,0.0,0.0,0.0,0.0
1666090393808688918,0.0,0.0,0.0,0.0,0.0,0.0
1666090393828634136,0.0,0.0,0.0,0.0,0.0,0.0
1666090393848658855,0.0,0.0,0.0,0.0,0.0,0.0
1666090393892022425,0.0,0.0,0.0,0.0,0.0,0.0
1666090393892034895,0.0,0.0,0.0,0.0,0.0,0.0
1666090393936019614,0.0,0.0,0.0,0.0,0.0,0.0
1666090393936028518,0.0,0.0,0.0,0.0,0.0,0.0
1666090393980021016,0.0,0.0,0.0,0.0,0.0,0.0
1666090393980029360,0.0,0.0,0.0,0.0,0.0,-0.00715584993317675
1666090394024029684,0.0,0.0,0.0,0.0,0.0,0.0
1666090394024038330,0.0,0.0,0.0,0.0,0.0,0.0
1666090394068050513,0.0,0.0,0.0,0.0,0.0,0.0
1666090394068058447,0.0,0.0,0.0,0.0,0.0,0.0
1666090394116029350,0.0,0.0,0.0,0.0,0.0,0.0
1666090394116037496,0.0,0.0,0.0,0.0,0.0,0.0
1666090394116043727,0.0,0.0,0.0,0.0,0.0,0.0
1666090394160084205,0.0,0.0,0.0,0.0,0.0,0.0
1666090394160095812,0.0,0.0,0.0,0.0,0.0,-0.010995574287564275
1666090394169510166,0.0,0.0,0.0,0.0,0.0,0.0
1666090394189519899,0.0,0.0,0.0,0.0,0.0,0.0
1666090394232078617,0.0,0.0,0.0,0.0,0.0,0.0
1666090394232089961,0.0,0.0,0.0,0.0,0.0,0.0
1666090394280053001,0.0,0.0,0.0,0.0,0.0,0.0
1666090394280069218,0.0,0.0,0.0,0.0,0.0,0.0
1666090394324048217,0.0,0.0,0.0,0.0,0.0,0.0
1666090394324057042,0.0,0.0,0.0,0.0,0.0,0.0
1666090394368081119,0.0,0.0,0.0,0.0,0.0,0.0
1666090394368091639,0.0,0.0,0.0,0.0,0.0,0.0
1666090394412060000,0.0,0.0,0.0,0.0,0.0,0.0
1666090394412072865,0.0,0.0,0.0,0.0,0.0,0.0
1666090394412080764,0.0,0.0,0.0,0.0,0.0,0.0
1666090394456161783,0.0,0.0,0.0,0.0,0.0,0.0
1666090394456174724,0.0,0.0,0.0,0.0,0.0,0.0
1666090394469578075,0.0,0.0,0.0,0.0,0.0,0.0
1666090394489517858,0.0,0.0,0.0,0.0,0.0,0.0
1666090394532082769,0.0,0.0,0.0,0.0,0.0,0.0
1666090394532093315,0.0,0.0,0.0,0.0,0.0,0.0
1666090394576054274,0.0,0.0,0.0,0.0,0.0,0.0
1666090394576072916,0.0,0.0,0.0,0.0,0.0,0.0
1666090394624171040,0.0,0.0,0.0,0.0,0.0,0.0
1666090394624180900,0.0,0.0,0.0,0.0,0.0,0.0
1666090394664047641,0.0,0.0,0.0,0.0,0.0,0.0
1666090394664059340,0.0,0.0,0.0,0.0,0.0,0.0
1666090394708033488,0.0,0.0,0.0,0.0,0.0,0.0
1666090394708046087,0.0,0.0,0.0,0.0,0.0,0.0
1666090394752037640,0.0,0.0,0.0,0.0,0.0,0.0
1666090394752047069,0.0,0.0,0.0,0.0,0.0,0.0
1666090394752057717,0.0,0.0,0.0,0.0,0.0,0.0
1666090394796039737,0.0,0.0,0.0,0.0,0.0,0.0
1666090394796051796,0.0,0.0,0.0,0.0,0.0,0.0
1666090394809788765,0.0,0.0,0.0,0.0,0.0,0.0
1666090394829308035,0.0,0.0,0.0,0.0,0.0,0.0
1666090394872049034,0.0,0.0,0.0,0.0,0.0,0.0
1666090394872062462,0.0,0.0,0.0,0.0,0.0,0.0
1666090394920101223,0.0,0.0,0.0,0.0,0.0,0.0
1666090394920112946,0.0,0.0,0.0,0.0,0.0,0.0
1666090394964047399,0.0,0.0,0.0,0.0,0.0,0.0
1666090394964060470,0.0,0.0,0.0,0.0,0.0,0.0
1666090395008042086,0.0,0.0,0.0,0.0,0.0,0.0
1666090395008052972,0.0,0.0,0.0,0.0,0.0,0.0
1666090395052043118,0.0,0.0,0.0,0.0,0.0,0.0
1666090395052056293,0.0,0.0,0.0,0.0,0.0,0.0
1666090395052070280,0.0,0.0,0.0,0.0,0.0,0.0
1666090395096051983,0.0,0.0,0.0,0.0,0.0,0.0
1666090395096061923,0.0,0.0,0.0,0.0,0.0,0.0
1666090395109323158,0.0,0.0,0.0,0.0,0.0,0.0
1666090395129149237,0.0,0.0,0.0,0.0,0.0,0.0
1666090395176039201,0.0,0.0,0.0,0.0,0.0,0.0
1666090395176049354,0.0,0.0,0.0,0.0,0.0,0.0
1666090395220039262,-0.002132302208337933,0.0,0.0,0.0,0.0,0.0
1666090395220050068,0.0,0.0,0.0,0.0,0.0,0.0
1666090395264052353,0.0,0.0,0.0,0.0,0.0,0.0
1666090395264062956,0.0,0.0,0.0,0.0,0.0,0.0
1666090395308288684,0.0,0.0,0.0,0.0,0.0,0.0
1666090395308311662,0.0,0.0,0.0,0.0,0.0,0.0
1666090395356062437,0.0,0.0,0.0,0.0,0.0,0.0
1666090395356073084,0.0,0.0,0.0,0.0,0.0,0.0
1666090395356077263,0.0,0.0,0.0,0.0,0.0,0.0
1666090395396041738,0.0,0.0,0.0,0.0,0.0,0.0
1666090395396050589,0.0,0.0,0.0,0.0,0.0,0.0
1666090395410074294,0.0,0.0,0.0,0.0,0.0,0.0
1666090395430049237,0.0,0.0,0.0,0.0,0.0,0.0
1666090395472100625,0.0,0.0,0.0,0.0,0.0,0.0
1666090395472113059,0.0,0.0,0.0,0.0,0.0,0.0
1666090395520887973,0.0,0.0,0.0,0.0,0.0,0.0
1666090395521003672,0.0,0.0,0.0,0.0,0.0,0.0
1666090395565082246,0.0,0.0,0.0,0.0,0.0,0.0
1666090395565100134,0.0,0.0,0.0,0.0,0.0,0.0
1666090395608091384,0.0,0.0,0.0,0.0,0.0,0.0
1666090395608105448,0.0,0.0,0.0,0.0,0.0,0.0
1666090395656065293,0.0,0.0,0.0,0.0,0.0,0.0
1666090395656094602,0.0,0.0,0.0,0.0,0.0,0.0
1666090395656102803,0.0,0.0,0.0,0.0,0.0,0.0
1666090395700211405,0.0,0.0,0.0,0.0,0.0,0.0
1666090395700259939,0.0,0.0,0.0,0.0,0.0,0.0
1666090395710527959,0.0,0.0,0.0,0.0,0.0,0.0
1666090395730067060,0.0,0.0,0.0,0.0,0.0,0.0
1666090395776101771,0.0,0.0,0.0,0.0,0.0,0.0
