%time,field.x,field.y,field.z
1666088164608515136,0.0,0.0,0.0
1666088164628318305,0.0,0.0,0.0
1666088164647520047,0.0,0.0,0.0
1666088164667571685,0.0,0.0,0.0
1666088164687795058,0.0,0.0,0.0
1666088164708709360,0.0,0.0,0.0
1666088164728261942,0.0,0.0,0.0
1666088164749094679,0.0,0.0,0.0
1666088164768647649,0.0,0.0,0.0
1666088164812077974,0.0,0.0,0.0
1666088164812092097,0.0,0.0,0.0
1666088164856189916,0.0,0.0,0.0
1666088164856219525,0.0,0.0,0.0
1666088164900100667,0.0,0.0,0.0
1666088164900116492,0.0,0.0,0.0
1666088164948238060,0.0,0.0,0.0
1666088164948266622,0.0,0.0,0.0
1666088164992386461,0.0,0.0,0.0
1666088164992425769,0.0,0.0,0.0
1666088164992483585,0.0,0.0,0.0
1666088165040168997,0.0,0.0,0.0
1666088165040210520,0.0,0.0,0.0
1666088165049726708,0.0,0.0,0.0
1666088165068260321,0.0,0.0,0.0
1666088165112077518,0.0,0.0,0.0
1666088165112095934,0.0,0.0,0.0
1666088165156198691,0.0,0.0,0.0
1666088165156229925,0.0,0.0,0.0
1666088165200092951,0.0,0.0,0.0
1666088165200108197,0.0,0.0,0.0
1666088165244200538,0.0,0.0,0.0
1666088165244223415,0.0,0.0,0.0
1666088165288126785,0.0,0.0,0.0
1666088165288155941,0.0,0.0,0.0
1666088165332065399,0.0,0.0,0.0
1666088165332082468,0.0,0.0,0.0
1666088165332095312,0.0,0.0,0.0
1666088165376363816,0.0,0.0,0.0
1666088165376397529,0.0,0.0,0.0
1666088165388313570,0.0,0.0,0.0
1666088165408350131,0.0,0.0,0.0
1666088165452180689,0.0,0.0,0.0
1666088165452211014,0.0,0.0,0.0
1666088165496113593,0.0,0.0,0.0
1666088165496127650,0.0,0.0,0.0
1666088165540081762,0.0,0.0,0.0
1666088165540099248,0.0,0.0,0.0
1666088165584236374,0.0,0.0,0.0
1666088165584273100,0.0,0.0,0.0
1666088165628057903,0.0,0.0,0.0
1666088165628069355,0.0,0.0,0.0
1666088165672077563,0.0,0.0,0.0
1666088165672092684,0.0,0.0,0.0
1666088165672121756,0.0,0.0,0.0
1666088165716101296,0.0,0.0,0.0
1666088165716123373,0.0,0.0,0.0
1666088165728343158,0.0,0.0,0.0
1666088165748313599,0.0,0.0,0.0
1666088165792094051,0.0,0.0,0.0
1666088165792117167,0.0,0.0,0.0
1666088165840125468,0.0,0.0,0.0
1666088165840143563,0.0,0.0,0.0
1666088165884212818,0.0,0.0,0.0
1666088165884253558,0.0,0.0,0.0
1666088165928124023,0.0,0.0,0.0
