%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666088168098900209,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088168196534469,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088168233100876,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088168333402190,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088168353226504,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088168439302284,0.0,0.0,0.0,0.0,0.0,-1.3962634015954642
1666088168572467975,0.0,0.0,0.0,0.0,0.0,-1.3962634015954642
1666088168616815754,0.0,0.0,0.0,0.0,0.0,-1.3962634015954642
1666088168692621986,0.0,0.0,0.0,0.0,0.0,-1.3962634015954642
1666088168782365976,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088168831850812,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169026371438,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169135244806,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169152550867,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169224258326,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169241408115,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169392902688,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169462021073,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169502360343,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169589760556,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169691925888,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169773853994,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169799453582,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169936625485,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169953008789,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170064099418,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088170151229314,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170207161833,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170241199336,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170312697231,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170450004984,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088170497645755,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170552107214,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170620828866,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170757956057,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170797722540,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170873212596,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088171005045300,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171049158923,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171141022840,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088171234849723,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171256865251,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171306484222,0.0,0.0,0.0,0.0,0.0,-1.1633880981593538
1666088171434599622,0.0,0.0,0.0,0.0,0.0,-1.0661334289357967
1666088171484172938,0.0,0.0,0.0,0.0,0.0,-1.0471975511965983
1666088171602135665,0.0,0.0,0.0,0.0,0.0,-0.9541995300236071
1666088171733646983,0.0,0.0,0.0,0.0,0.0,-0.8196777667511509
1666088171832581821,0.0,0.0,0.0,0.0,0.0,-0.7381106167323752
1666088171946167330,0.0,0.0,0.0,0.0,0.0,-0.6494682129225751
1666088172033930816,0.0,0.0,0.0,0.0,0.0,-0.5523195596282271
1666088172079224853,0.0,0.0,0.0,0.0,0.0,-0.45094851514104606
1666088172150953467,0.0,0.0,0.0,0.0,0.0,-0.2385409589767705
1666088172154111771,0.0,0.0,0.0,0.0,0.0,-0.2480151704679315
1666088172242067778,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666088172333982444,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666088172421263555,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666088172454772374,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088172545817730,0.0,0.0,0.0,0.0,0.0,0.26393381617646566
1666088172637065575,0.0,0.0,0.0,0.0,0.0,0.32706914881561205
1666088172682598613,0.0,0.0,0.0,0.0,0.0,0.37638896521375026
1666088172763520397,0.0,0.0,0.0,0.0,0.0,0.4048339720549983
1666088172898120276,0.0,0.0,0.0,0.0,0.0,0.4378488009196044
1666088172945701886,0.0,0.0,0.0,0.0,0.0,0.46153493055001166
1666088173016755707,0.0,0.0,0.0,0.0,0.0,0.4912487238309188
1666088173112889012,0.0,0.0,0.0,0.0,0.0,0.5095397220543468
1666088173153141204,0.0,0.0,0.0,0.0,0.0,0.5010279948449966
1666088173242674109,0.0,0.0,0.0,0.0,0.0,0.5159085813492721
1666088173319603167,0.0,0.0,0.0,0.0,0.0,0.48917268520486884
1666088173365231819,0.0,0.0,0.0,0.0,0.0,0.48438111878372936
1666088173455429305,0.0,0.0,0.0,0.0,0.0,0.46924064795401943
1666088173542046127,0.0,0.0,0.0,0.0,0.0,0.4650712981821867
1666088173617133238,0.0,0.0,0.0,0.0,0.0,0.42939298664008985
1666088173704926046,0.0,0.0,0.0,0.0,0.0,0.42666790040198244
1666088173837907481,0.0,0.0,0.0,0.0,0.0,0.39870924091311905
1666088173882000397,0.0,0.0,0.0,0.0,0.0,0.37866792359933943
1666088173957546514,0.0,0.0,0.0,0.0,0.0,0.37215338327519387
1666088174001094999,0.0,0.0,0.0,0.0,0.0,0.3559540294846944
1666088174090442980,0.0,0.0,0.0,0.0,0.0,0.3231961950793565
1666088174133344748,0.0,0.0,0.0,0.0,0.0,0.31793118529995257
1666088174221376733,0.0,0.0,0.0,0.0,0.0,0.3050736047422074
1666088174255803717,0.0,0.0,0.0,0.0,0.0,0.28282587308434143
1666088174346632610,0.0,0.0,0.0,0.0,0.0,0.271477015250416
1666088174390758447,0.0,0.0,0.0,0.0,0.0,0.25384126641781357
1666088174476635528,0.0,0.0,0.0,0.0,0.0,0.24462474107176993
1666088174552770377,0.0,0.0,0.0,0.0,0.0,0.2244377830489432
1666088174554786393,0.0,0.0,0.0,0.0,0.0,0.21957137100369262
1666088174646773829,0.0,0.0,0.0,0.0,0.0,0.22034331960995301
1666088174738502254,0.0,0.0,0.0,0.0,0.0,0.21771585720348371
1666088174782487107,0.0,0.0,0.0,0.0,0.0,0.21354848579165236
1666088174902448249,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088174989117545,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175082446607,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175128182605,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175158605282,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175245677754,0.0,0.0,0.0,0.0,0.0,0.22442646283347586
1666088175337286958,0.0,0.0,0.0,0.0,0.0,0.22778502079928473
1666088175395749355,0.0,0.0,0.0,0.0,0.0,0.22752685904951198
1666088175508945813,0.0,0.0,0.0,0.0,0.0,0.22726948873542807
1666088175555026679,0.0,0.0,0.0,0.0,0.0,0.2184064563917584
1666088175648270814,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175655979585,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175720743086,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175809303196,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175901802547,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175946548020,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176018253185,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176115504751,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176177992216,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176298321581,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176380536666,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176429909051,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176519140679,0.40820857882499695,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176579071242,0.43563854694366455,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176684031077,0.4746270179748535,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176757178420,0.470247358083725,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176843310609,0.49722200632095337,0.0,0.0,0.0,0.0,0.17453292519943245
1666088176962365324,0.5244078636169434,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666088177049241411,0.5524032711982727,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666088177180153098,0.6282870173454285,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666088177275328287,0.6666005253791809,0.0,0.0,0.0,0.0,-0.05625935643911362
1666088177304619530,0.6655343770980835,0.0,0.0,0.0,0.0,-0.05664682015776634
1666088177398044394,0.6966267228126525,0.0,0.0,0.0,0.0,-0.06685545295476913
1666088177460362480,0.7528032660484314,0.0,0.0,0.0,0.0,-0.08764071762561798
1666088177607886224,0.7765210270881653,0.0,0.0,0.0,0.0,-0.17453292519943345
1666088177698637822,0.7871325612068176,0.0,0.0,0.0,0.0,-0.17453292519943345
1666088177760660162,0.7999999999999999,0.0,0.0,0.0,0.0,-0.17453292519943345
1666088177832386193,0.7999999999999999,0.0,0.0,0.0,0.0,-0.3490658503988664
1666088177838484230,0.7999999999999999,0.0,0.0,0.0,0.0,-0.3490658503988664
1666088177953000067,0.7999999999999999,0.0,0.0,0.0,0.0,-0.3490658503988664
