%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666088168106061501,0.0,0.0,0.0,0.0,0.0,-0.1
1666088168155943215,0.0,0.0,0.0,0.0,0.0,-0.2
1666088168206257589,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004
1666088168255942859,0.0,0.0,0.0,0.0,0.0,-0.4
1666088168305901919,0.0,0.0,0.0,0.0,0.0,-0.5
1666088168356847025,0.0,0.0,0.0,0.0,0.0,-0.6
1666088168405874230,0.0,0.0,0.0,0.0,0.0,-0.7
1666088168456437696,0.0,0.0,0.0,0.0,0.0,-0.7999999999999999
1666088168506079338,0.0,0.0,0.0,0.0,0.0,-0.8999999999999999
1666088168556658352,0.0,0.0,0.0,0.0,0.0,-0.9999999999999999
1666088168605786341,0.0,0.0,0.0,0.0,0.0,-1.0999999999999999
1666088168655932102,0.0,0.0,0.0,0.0,0.0,-1.2
1666088168705884367,0.0,0.0,0.0,0.0,0.0,-1.3
1666088168755966914,0.0,0.0,0.0,0.0,0.0,-1.3962634015954642
1666088168805951737,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088168856112823,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088168905690662,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088168956129934,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169005896186,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169055852607,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169106015291,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169155935810,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169205780354,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169256396185,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169305755237,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169355835003,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169405932430,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169455914236,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169506189267,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169557497750,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169606042198,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169656007700,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088169705977844,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169756063062,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169805952814,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169856051878,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169905808196,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088169956304925,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170005834781,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170057211817,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170105906522,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088170156280596,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170205869978,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170256228004,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170305792610,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170356014951,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170405939857,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170455935036,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088170505922480,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170556013273,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170605734901,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170656280198,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170705881635,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170756109929,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170805876405,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170855823905,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088170906083895,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088170960815914,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088171005807124,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171056037554,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171106068771,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171159224816,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088171205865849,0.0,0.0,0.0,0.0,0.0,-1.2217304763960306
1666088171255814955,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171306528570,0.0,0.0,0.0,0.0,0.0,-1.2217304763960313
1666088171356423855,0.0,0.0,0.0,0.0,0.0,-1.1633880981593538
1666088171405963733,0.0,0.0,0.0,0.0,0.0,-1.1633880981593538
1666088171458111072,0.0,0.0,0.0,0.0,0.0,-1.0661334289357967
1666088171505800804,0.0,0.0,0.0,0.0,0.0,-1.0471975511965983
1666088171555949978,0.0,0.0,0.0,0.0,0.0,-1.0471975511965983
1666088171606271068,0.0,0.0,0.0,0.0,0.0,-0.9541995300236071
1666088171655923298,0.0,0.0,0.0,0.0,0.0,-0.9541995300236071
1666088171706299351,0.0,0.0,0.0,0.0,0.0,-0.9541995300236071
1666088171756100892,0.0,0.0,0.0,0.0,0.0,-0.8196777667511509
1666088171805926889,0.0,0.0,0.0,0.0,0.0,-0.8196777667511509
1666088171856326225,0.0,0.0,0.0,0.0,0.0,-0.7381106167323752
1666088171905759498,0.0,0.0,0.0,0.0,0.0,-0.7381106167323752
1666088171956044101,0.0,0.0,0.0,0.0,0.0,-0.6494682129225751
1666088172006421043,0.0,0.0,0.0,0.0,0.0,-0.6494682129225751
1666088172056080832,0.0,0.0,0.0,0.0,0.0,-0.5523195596282271
1666088172106802072,0.0,0.0,0.0,0.0,0.0,-0.45094851514104606
1666088172155811384,0.0,0.0,0.0,0.0,0.0,-0.2480151704679315
1666088172205903239,0.0,0.0,0.0,0.0,0.0,-0.2480151704679315
1666088172255893616,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666088172306328942,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666088172355757239,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666088172405842973,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666088172455848237,0.0,0.0,0.0,0.0,0.0,0.0999999999999995
1666088172505762178,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088172556034269,0.0,0.0,0.0,0.0,0.0,0.26393381617646566
1666088172606054711,0.0,0.0,0.0,0.0,0.0,0.26393381617646566
1666088172656123701,0.0,0.0,0.0,0.0,0.0,0.32706914881561205
1666088172706109955,0.0,0.0,0.0,0.0,0.0,0.37638896521375026
1666088172755971495,0.0,0.0,0.0,0.0,0.0,0.37638896521375026
1666088172806155205,0.0,0.0,0.0,0.0,0.0,0.4048339720549983
1666088172856009213,0.0,0.0,0.0,0.0,0.0,0.4048339720549983
1666088172905972390,0.0,0.0,0.0,0.0,0.0,0.4378488009196044
1666088172955756404,0.0,0.0,0.0,0.0,0.0,0.46153493055001166
1666088173005872645,0.0,0.0,0.0,0.0,0.0,0.46153493055001166
1666088173055785425,0.0,0.0,0.0,0.0,0.0,0.4912487238309188
1666088173106132269,0.0,0.0,0.0,0.0,0.0,0.4912487238309188
1666088173155820777,0.0,0.0,0.0,0.0,0.0,0.5010279948449966
1666088173205832636,0.0,0.0,0.0,0.0,0.0,0.5010279948449966
1666088173262499933,0.0,0.0,0.0,0.0,0.0,0.5159085813492721
1666088173305979339,0.0,0.0,0.0,0.0,0.0,0.5159085813492721
1666088173355786161,0.0,0.0,0.0,0.0,0.0,0.48917268520486884
1666088173406050481,0.0,0.0,0.0,0.0,0.0,0.48438111878372936
1666088173456774267,0.0,0.0,0.0,0.0,0.0,0.46924064795401943
1666088173505688670,0.0,0.0,0.0,0.0,0.0,0.46924064795401943
1666088173555786865,0.0,0.0,0.0,0.0,0.0,0.4650712981821867
1666088173606304083,0.0,0.0,0.0,0.0,0.0,0.4650712981821867
1666088173655817336,0.0,0.0,0.0,0.0,0.0,0.42939298664008985
1666088173705817634,0.0,0.0,0.0,0.0,0.0,0.42666790040198244
1666088173756393800,0.0,0.0,0.0,0.0,0.0,0.42666790040198244
1666088173806356302,0.0,0.0,0.0,0.0,0.0,0.42666790040198244
1666088173855817094,0.0,0.0,0.0,0.0,0.0,0.39870924091311905
1666088173905896092,0.0,0.0,0.0,0.0,0.0,0.37866792359933943
1666088173955888161,0.0,0.0,0.0,0.0,0.0,0.37866792359933943
1666088174005848497,0.0,0.0,0.0,0.0,0.0,0.3559540294846944
1666088174055863856,0.0,0.0,0.0,0.0,0.0,0.3559540294846944
1666088174105947831,0.0,0.0,0.0,0.0,0.0,0.3231961950793565
1666088174155953598,0.0,0.0,0.0,0.0,0.0,0.31793118529995257
1666088174206242743,0.0,0.0,0.0,0.0,0.0,0.31793118529995257
1666088174255887472,0.0,0.0,0.0,0.0,0.0,0.3050736047422074
1666088174305990754,0.0,0.0,0.0,0.0,0.0,0.28282587308434143
1666088174356429109,0.0,0.0,0.0,0.0,0.0,0.271477015250416
1666088174405801762,0.0,0.0,0.0,0.0,0.0,0.25384126641781357
1666088174455765630,0.0,0.0,0.0,0.0,0.0,0.25384126641781357
1666088174506149694,0.0,0.0,0.0,0.0,0.0,0.24462474107176993
1666088174555698712,0.0,0.0,0.0,0.0,0.0,0.21957137100369262
1666088174606311916,0.0,0.0,0.0,0.0,0.0,0.21957137100369262
1666088174656258036,0.0,0.0,0.0,0.0,0.0,0.22034331960995301
1666088174706005968,0.0,0.0,0.0,0.0,0.0,0.22034331960995301
1666088174755942956,0.0,0.0,0.0,0.0,0.0,0.21771585720348371
1666088174805853324,0.0,0.0,0.0,0.0,0.0,0.21354848579165236
1666088174856100858,0.0,0.0,0.0,0.0,0.0,0.21354848579165236
1666088174905806493,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088174955968916,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175006159754,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175055733663,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175105949237,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175156808441,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175205850119,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666088175256460072,0.0,0.0,0.0,0.0,0.0,0.22442646283347586
1666088175306106038,0.0,0.0,0.0,0.0,0.0,0.22442646283347586
1666088175356593506,0.0,0.0,0.0,0.0,0.0,0.22778502079928473
1666088175406150487,0.0,0.0,0.0,0.0,0.0,0.22752685904951198
1666088175455833152,0.0,0.0,0.0,0.0,0.0,0.22752685904951198
1666088175506525428,0.0,0.0,0.0,0.0,0.0,0.22752685904951198
