%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666088217161882268,0.0,0.0,0.0,0.0,0.0,0.0
1666088217181107541,0.0,0.0,0.0,0.0,0.0,0.0
1666088217200911686,0.0,0.0,0.0,0.0,0.0,0.0
1666088217221965358,0.0,0.0,0.0,0.0,0.0,0.0
1666088217241135060,0.0,0.0,0.0,0.0,0.0,0.0
1666088217261032378,0.0,0.0,0.0,0.0,0.0,0.0
1666088217281115511,0.0,0.0,0.0,0.0,0.0,0.0
1666088217302014851,0.0,0.0,0.0,0.0,0.0,0.0
1666088217321340572,0.0,0.0,0.0,0.0,0.0,0.0
1666088217364073521,0.0,0.0,0.0,0.0,0.0,0.0
1666088217364084251,0.0,0.0,0.0,0.0,0.0,0.0
1666088217408190510,0.0,0.0,0.0,0.0,0.0,0.0
1666088217408216713,0.0,0.0,0.0,0.0,0.0,0.0
1666088217452100276,0.0,0.0,0.0,0.0,0.0,0.0
1666088217452138182,0.0,0.0,0.0,0.0,0.0,0.0
1666088217496082552,0.0,0.0,0.0,0.0,0.0,0.0
1666088217496097645,0.0,0.0,0.0,0.0,0.0,0.0
1666088217540055415,0.0,0.0,0.0,0.0,0.0,0.0
1666088217540067875,0.0,0.0,0.0,0.0,0.0,0.0
1666088217584047180,0.0,0.0,0.0,0.0,0.0,0.0
1666088217584057751,0.0,0.0,0.0,0.0,0.0,0.0
1666088217584065968,0.0,0.0,0.0,0.0,0.0,0.0
1666088217628056225,0.0,0.0,0.0,0.0,0.0,0.0
1666088217628075908,0.0,0.0,0.0,0.0,0.0,0.0
1666088217642559278,0.0,0.0,0.0,0.0,0.0,0.0
1666088217662305546,0.0,0.0,0.0,0.0,0.0,0.0
1666088217708143051,0.0,0.0,0.0,0.0,0.0,0.0
1666088217708177919,0.0,0.0,0.0,0.0,0.0,0.0
1666088217752324534,0.0,0.0,0.0,0.0,0.0,0.0
1666088217752352307,0.0,0.0,0.0,0.0,0.0,0.0
1666088217796206507,0.0,0.0,0.0,0.0,0.0,0.0
1666088217796229040,0.0,0.0,0.0,0.0,0.0,0.0
1666088217845061912,0.0,0.0,0.0,0.0,0.0,0.0
1666088217845100639,0.0,0.0,0.0,0.0,0.0,0.0
1666088217845216928,0.0,0.0,0.0,0.0,0.0,0.0
1666088217888140580,0.0,0.0,0.0,0.0,0.0,0.0
1666088217888157525,0.0,0.0,0.0,0.0,0.0,0.0
1666088217901738861,0.0,0.0,0.0,0.0,0.0,0.0
1666088217923470016,0.0,0.0,0.0,0.0,0.0,0.0
1666088217968044819,0.0,0.0,0.0,0.0,0.0,0.0
1666088217968056391,0.0,0.0,0.0,0.0,0.0,0.0
1666088218012356308,0.0,0.0,0.0,0.0,0.0,0.0
1666088218012402956,0.0,0.0,0.0,0.0,0.0,0.0
1666088218063233948,0.0,0.0,0.0,0.0,0.0,0.0
