%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666089363546331616,0.0,0.0,0.0,0.0,0.0,0.0
1666089363566215828,0.0,0.0,0.0,0.0,0.0,0.0
1666089363586064230,0.0,0.0,0.0,0.0,0.0,0.0
1666089363606063478,0.0,0.0,0.0,0.0,0.0,0.0
1666089363625032818,0.0,0.0,0.0,0.0,0.0,0.0
1666089363645994981,0.0,0.0,0.0,0.0,0.0,0.0
1666089363666033473,0.0,0.0,0.0,0.0,0.0,0.0
1666089363686029583,0.0,0.0,0.0,0.0,0.0,0.0
1666089363706025493,0.0,0.0,0.0,0.0,0.0,0.0
1666089363748025587,0.0,0.0,0.0,0.0,0.0,0.0
1666089363748034193,0.0,0.0,0.0,0.0,0.0,0.0
1666089363792031072,0.0,0.0,0.0,0.0,0.0,0.0
1666089363792039281,0.0,0.0,0.0,0.0,0.0,0.0
1666089363836050325,0.0,0.0,0.0,0.0,0.0,0.0
1666089363836058494,0.0,0.0,0.0,0.0,0.0,0.0
1666089363880063870,0.0,0.0,0.0,0.0,0.0,0.0
1666089363880071864,0.0,0.0,0.0,0.0,0.0,0.0
1666089363924033543,0.0,0.0,0.0,0.0,0.0,0.0
1666089363924046388,0.0,0.0,0.0,0.0,0.0,0.0
1666089363972027676,0.0,0.0,0.0,0.0,0.0,0.0
1666089363972037988,0.0,0.0,0.0,0.0,0.0,0.0
1666089363972046637,0.0,0.0,0.0,0.0,0.0,0.0
1666089364016029599,0.0,0.0,0.0,0.0,0.0,0.0
1666089364016041414,0.0,0.0,0.0,0.0,0.0,0.0
1666089364025850188,0.0,0.0,0.0,0.0,0.0,0.0
1666089364045895998,0.0,0.0,0.0,0.0,0.0,0.0
1666089364088029750,0.0,0.0,0.0,0.0,0.0,0.0
1666089364088036032,0.0,0.0,0.0,0.0,0.0,0.0
1666089364132037543,0.0,0.0,0.0,0.0,0.0,0.0
1666089364132046719,0.0,0.0,0.0,0.0,0.0,0.0
1666089364176021610,0.0,0.0,0.0,0.0,0.0,0.0
1666089364176028317,0.0,0.0,0.0,0.0,0.0,0.0
1666089364220022120,0.0,0.0,0.0,0.0,0.0,0.0
1666089364220030001,0.0,0.0,0.0,0.0,0.0,0.0
1666089364264024269,0.0,0.0,0.0,0.0,0.0,0.0
1666089364264038723,0.0,0.0,0.0,0.0,0.0,0.0
1666089364308027909,0.0,0.0,0.0,0.0,0.0,0.0
1666089364308039229,0.0,0.0,0.0,0.0,0.0,0.0
1666089364308045469,0.0,0.0,0.0,0.0,0.0,0.0
1666089364356023201,0.0,0.0,0.0,0.0,0.0,0.0
1666089364356028333,0.0,0.0,0.0,0.0,0.0,0.0
1666089364366807687,0.0,0.0,0.0,0.0,0.0,0.0
1666089364385776719,0.0,0.0,0.0,0.0,0.0,0.0
1666089364428045981,0.0,0.0,0.0,0.0,0.0,0.0
1666089364428056224,0.0,0.0,0.0,0.0,0.0,0.0
1666089364476032051,0.0,0.0,0.0,0.0,0.0,0.0
1666089364476046674,0.0,0.0,0.0,0.0,0.0,0.0
1666089364520025963,0.0,0.0,0.0,0.0,0.0,0.0
1666089364520037519,0.0,0.0,0.0,0.0,0.0,0.0
1666089364564024496,0.0,0.0,0.0,0.0,0.0,0.0
1666089364564029756,0.0,0.0,0.0,0.0,0.0,0.0
1666089364608045274,0.0,0.0,0.0,0.0,0.0,0.0
1666089364608052045,0.0,0.0,0.0,0.0,0.0,0.0
1666089364608062205,0.0,0.0,0.0,0.0,0.0,0.0
1666089364656098295,0.0,0.0,0.0,0.0,0.0,0.0
1666089364656111868,0.0,0.0,0.0,0.0,0.0,0.0
1666089364666680868,0.0,0.0,0.0,0.0,0.0,0.0
1666089364686679346,0.0,0.0,0.0,0.0,0.0,0.0
1666089364728044583,0.0,0.0,0.0,0.0,0.0,0.0
1666089364728056527,0.0,0.0,0.0,0.0,0.0,0.0
1666089364776043933,0.0,0.0,0.0,0.0,0.0,0.0
1666089364776058767,0.0,0.0,0.0,0.0,0.0,0.0
1666089364820042471,0.0,0.0,0.0,0.0,0.0,0.0
1666089364820056087,0.0,0.0,0.0,0.0,0.0,0.0
1666089364868037657,0.0,0.0,0.0,0.0,0.0,0.0
1666089364868047904,0.0,0.0,0.0,0.0,0.0,0.0
1666089364868051042,0.0,0.0,0.0,0.0,0.0,0.0
1666089364912035362,0.0,0.0,0.0,0.0,0.0,0.0
1666089364912050295,0.0,0.0,0.0,0.0,0.0,0.0
1666089364927575134,0.0,0.0,0.0,0.0,0.0,0.0
1666089364946577307,0.0,0.0,0.0,0.0,0.0,0.0
1666089364988038671,0.0,0.0,0.0,0.0,0.0,0.0
1666089364988051553,0.0,0.0,0.0,0.0,0.0,0.0
1666089365032058510,0.0,0.0,0.0,0.0,0.0,0.0
1666089365032064900,0.0,0.0,0.0,0.0,0.0,0.0
1666089365076143180,0.0,0.0,0.0,0.0,0.0,0.0
1666089365076175519,0.0,0.0,0.0,0.0,0.0,0.0
1666089365120047470,0.0,0.0,0.0,0.0,0.0,0.0
1666089365120059975,0.0,0.0,0.0,0.0,0.0,0.0
1666089365164032225,0.0,0.0,0.0,0.0,0.0,0.0
1666089365164040960,0.0,0.0,0.0,0.0,0.0,0.0
1666089365208035490,0.0,0.0,0.0,0.0,0.0,0.0
1666089365208047815,0.0,0.0,0.0,0.0,0.0,0.0
1666089365208053683,0.0,0.0,0.0,0.0,0.0,0.0
1666089365252246372,0.0,0.0,0.0,0.0,0.0,0.0
1666089365252257589,0.0,0.0,0.0,0.0,0.0,0.0
1666089365266412078,0.0,0.0,0.0,0.0,0.0,0.0
1666089365286453943,0.0,0.0,0.0,0.0,0.0,0.0
1666089365328042728,0.0,0.0,0.0,0.0,0.0,0.0
1666089365328053179,0.0,0.0,0.0,0.0,0.0,0.0
1666089365372032962,0.0,0.0,0.0,0.0,0.0,0.0
1666089365372042886,0.0,0.0,0.0,0.0,0.0,0.0
1666089365416070583,0.0,0.0,0.0,0.0,0.0,0.0
1666089365416079377,0.0,0.0,0.0,0.0,0.0,0.0
1666089365460092668,0.0,0.0,0.0,0.0,0.0,0.0
1666089365460102279,0.0,0.0,0.0,0.0,0.0,0.0
1666089365504141485,0.0,0.0,0.0,0.0,0.0,0.0
1666089365504158358,0.0,0.0,0.0,0.0,0.0,0.0
