%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666089376158208560,0.5198523998260498,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089376262638437,0.3537842929363251,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089376276496871,0.3537842929363251,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089376411649467,0.47530505061149597,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089376504982142,0.46992465853691096,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089376603059401,0.47008717060089106,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089376620444790,0.4695896506309509,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089376752129829,0.46682700514793396,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089376784078276,0.4640236794948578,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089376840186460,0.46345508098602295,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089376961457416,0.4619671404361725,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089377052978882,0.3250160217285156,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089377143093813,0.32078972458839417,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089377159982963,0.44629198312759394,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089377225996893,0.4385107159614563,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089377269987745,0.4385817945003509,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089377314155052,0.4311258494853973,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089377419170377,0.2957368493080139,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089377483328773,0.42581018805503845,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089377579400509,0.41554462909698486,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089377655930872,0.3921954929828643,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089377743569549,0.3815979063510895,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089377783064338,0.0,0.0,0.0,0.0,0.0,-0.7359161072373294
1666089377826061728,0.0,0.0,0.0,0.0,0.0,-0.7357194615780842
1666089377870430376,0.0,0.0,0.0,0.0,0.0,-0.6986128986290274
1666089377958282077,0.0,0.0,0.0,0.0,0.0,-0.6567906206192412
1666089378001635642,0.0,0.0,0.0,0.0,0.0,-0.6108116748495813
1666089378077548001,0.0,0.0,0.0,0.0,0.0,-0.5661734492987234
1666089378181924126,0.0,0.0,0.0,0.0,0.0,-0.47489699545266195
1666089378197023956,0.0,0.0,0.0,0.0,0.0,-0.4706126255455509
1666089378281391516,0.0,0.0,0.0,0.0,0.0,-0.440840005170806
1666089378325726018,0.0,0.0,0.0,0.0,0.0,-0.3997865829658276
1666089378412999108,0.0,0.0,0.0,0.0,0.0,-0.37218278239961844
1666089378529566628,0.0,0.0,0.0,0.0,0.0,-0.338097472700077
1666089378536216121,0.0,0.0,0.0,0.0,0.0,-0.33035289263088563
1666089378621608610,0.0,0.0,0.0,0.0,0.0,-0.30887967050065407
1666089378709112466,0.0,0.0,0.0,0.0,0.0,-0.2912331554367872
1666089378798209371,0.0,0.0,0.0,0.0,0.0,-0.27468773637988453
1666089378961108813,0.0,0.0,0.0,0.0,0.0,-0.2669502007230793
1666089379001920469,0.0,0.0,0.0,0.0,0.0,-0.25978691769520984
1666089379090126066,0.0,0.0,0.0,0.0,0.0,-0.2647867019428734
1666089379133256794,0.0,0.0,0.0,0.0,0.0,-0.26498951536056975
1666089379228362065,0.0,0.0,0.0,0.0,0.0,-0.31139747628171194
1666089379235655714,0.0,0.0,0.0,0.0,0.0,-0.30418963522021863
1666089379305183556,0.0,0.0,0.0,0.0,0.0,-0.31339612890672486
1666089379392896216,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089379436950798,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089379528141376,0.0,0.0,0.0,0.0,0.0,-0.34944007189032095
1666089379558304481,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089379645471790,0.0,0.0,0.0,0.0,0.0,-0.3560614623522725
1666089379733504419,0.0,0.0,0.0,0.0,0.0,-0.38069546147686345
1666089379821566500,0.0,0.0,0.0,0.0,0.0,-0.4001968397282015
1666089379865299348,0.0,0.0,0.0,0.0,0.0,-0.40735864972568253
1666089379878456985,0.0,0.0,0.0,0.0,0.0,-0.4191408952977484
1666089379995408233,0.0,0.0,0.0,0.0,0.0,-0.4303546042787029
1666089380077616107,0.0,0.0,0.0,0.0,0.0,-0.4347352302770466
1666089380122116516,0.0,0.0,0.0,0.0,0.0,-0.426192419355455
1666089380289200609,0.0,0.0,0.0,0.0,0.0,-0.43618045402713046
1666089380345989847,0.0,0.0,0.0,0.0,0.0,-0.411851149622029
1666089380360059001,0.0,0.0,0.0,0.0,0.0,-0.4085027327727872
1666089380446807962,0.0,0.0,0.0,0.0,0.0,-0.4080314236000565
1666089380581235323,0.0,0.0,0.0,0.0,0.0,-0.38404386314881445
1666089380691559521,0.0,0.0,0.0,0.0,0.0,-0.37738082837646736
1666089380700678741,0.0,0.0,0.0,0.0,0.0,-0.3633672607145738
1666089380826045872,0.0,0.0,0.0,0.0,0.0,-0.3753831397126385
1666089380881407877,0.0,0.0,0.0,0.0,0.0,-0.3697481681668494
1666089380909948634,0.0,0.0,0.0,0.0,0.0,-0.37138800071827327
1666089380970405461,0.0,0.0,0.0,0.0,0.0,-0.3810525851213024
1666089381001411452,0.0,0.0,0.0,0.0,0.0,-0.3777286840828883
1666089381089438755,0.0,0.0,0.0,0.0,0.0,-0.3938394146172528
1666089381224698245,0.4342445135116577,0.0,0.0,0.0,0.0,-0.14296816289424896
1666089381334485926,0.3768805265426636,0.0,0.0,0.0,0.0,-0.03440814092755318
1666089381344171190,0.45946949720382685,0.0,0.0,0.0,0.0,-0.15280552208423615
1666089381442561153,0.46975550055503845,0.0,0.0,0.0,0.0,-0.15696196258068085
1666089381476896237,0.4694711863994598,0.0,0.0,0.0,0.0,-0.1576775461435318
1666089381607338423,0.48754259943962097,0.0,0.0,0.0,0.0,-0.1681547909975052
1666089381676572840,0.49524384737014765,0.0,0.0,0.0,0.0,-0.17367415130138397
1666089381683600459,0.4938933551311493,0.0,0.0,0.0,0.0,-0.17313657701015472
1666089381819593988,0.4957994520664215,0.0,0.0,0.0,0.0,-0.1770954132080078
1666089381969417205,0.5164073705673218,0.0,0.0,0.0,0.0,-0.19222845137119293
1666089381982685847,0.5154122710227966,0.0,0.0,0.0,0.0,-0.19270315766334534
1666089382137041757,0.43568322062492365,0.0,0.0,0.0,0.0,-0.09754202514886856
1666089382163736560,0.5194043517112732,0.0,0.0,0.0,0.0,-0.19958575069904327
1666089382240559908,0.5209090709686279,0.0,0.0,0.0,0.0,-0.20207619667053223
