%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666089457795312754,0.015,0.0,0.0,0.0,0.0,-0.03841084361826301
1666089457844992473,0.03,0.0,0.0,0.0,0.0,-0.07682168723652602
1666089457895344334,0.045,0.0,0.0,0.0,0.0,-0.11493254302967161
1666089457944929383,0.06,0.0,0.0,0.0,0.0,-0.1530433988228172
1666089457994814871,0.075,0.0,0.0,0.0,0.0,-0.1974353523082722
1666089458044737652,0.09,0.0,0.0,0.0,0.0,-0.2418273057937272
1666089458095552473,0.105,0.0,0.0,0.0,0.0,-0.27967679847049687
1666089458144746125,0.12,0.0,0.0,0.0,0.0,-0.31767917396987155
1666089458194884851,0.135,0.0,0.0,0.0,0.0,-0.35577761996827123
1666089458244787303,0.15000000000000002,0.0,0.0,0.0,0.0,-0.3938760659666709
1666089458295174633,0.16500000000000004,0.0,0.0,0.0,0.0,-0.4319745119650706
1666089458344851288,0.18000000000000005,0.0,0.0,0.0,0.0,-0.46151127485411436
1666089458395566596,0.19500000000000006,0.0,0.0,0.0,0.0,-0.49130234993243077
1666089458444794159,0.21000000000000008,0.0,0.0,0.0,0.0,-0.5210934250107472
1666089458494798244,0.2250000000000001,0.0,0.0,0.0,0.0,-0.5507437617334083
1666089458544873254,0.2400000000000001,0.0,0.0,0.0,0.0,-0.5805052750022849
1666089458596220076,0.2550000000000001,0.0,0.0,0.0,0.0,-0.6102667882711614
1666089458644701614,0.27000000000000013,0.0,0.0,0.0,0.0,-0.6403939508447659
1666089458695319452,0.28500000000000014,0.0,0.0,0.0,0.0,-0.6705211134183704
1666089458744791047,0.30000000000000016,0.0,0.0,0.0,0.0,-0.7014928678716039
1666089458795502033,0.31500000000000017,0.0,0.0,0.0,0.0,-0.7338126207023872
1666089458844781305,0.3300000000000002,0.0,0.0,0.0,0.0,-0.7675892594766863
1666089458897426273,0.3450000000000002,0.0,0.0,0.0,0.0,-0.8013658982509855
1666089458944977822,0.3600000000000002,0.0,0.0,0.0,0.0,-0.8381709314208357
1666089458995110682,0.3750000000000002,0.0,0.0,0.0,0.0,-0.8774176513906228
1666089459044717751,0.39000000000000024,0.0,0.0,0.0,0.0,-0.9166643713604099
1666089459094997972,0.40500000000000025,0.0,0.0,0.0,0.0,-0.9710192248111302
1666089459144754358,0.41883373260498047,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089459195265897,0.28911668062210083,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089459244704789,0.28911668062210083,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089459294692816,0.28911668062210083,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089459344760757,0.1391166806221008,0.0,0.0,0.0,0.0,-0.8275116215988746
1666089459395051113,0.0,0.0,0.0,0.0,0.0,-0.7856347143188391
1666089459444797544,0.0,0.0,0.0,0.0,0.0,-0.7546222631313431
1666089459494793253,0.0,0.0,0.0,0.0,0.0,-0.7546222631313431
1666089459544820398,0.0,0.0,0.0,0.0,0.0,-0.7320094955595418
1666089459595342876,0.0,0.0,0.0,0.0,0.0,-0.7055245398336873
1666089459644790333,0.0,0.0,0.0,0.0,0.0,-0.7055245398336873
1666089459694979434,0.0,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089459745112730,0.0,0.0,0.0,0.0,0.0,-0.6361275031217395
1666089459794823775,0.0,0.0,0.0,0.0,0.0,-0.6361275031217395
1666089459844841127,0.0,0.0,0.0,0.0,0.0,-0.5988314813309267
1666089459895163535,0.0,0.0,0.0,0.0,0.0,-0.5549993337805674
1666089459944738235,0.0,0.0,0.0,0.0,0.0,-0.5549993337805674
1666089459994680757,0.0,0.0,0.0,0.0,0.0,-0.5549993337805674
1666089460044880367,0.0,0.0,0.0,0.0,0.0,-0.5244073246604718
1666089460096393345,0.0,0.0,0.0,0.0,0.0,-0.5244073246604718
1666089460144945520,0.0,0.0,0.0,0.0,0.0,-0.4754056345336529
1666089460196208490,0.0,0.0,0.0,0.0,0.0,-0.4754056345336529
1666089460245140812,0.0,0.0,0.0,0.0,0.0,-0.4481705777472789
1666089460296386543,0.0,0.0,0.0,0.0,0.0,-0.4242927239809319
1666089460344807981,0.0,0.0,0.0,0.0,0.0,-0.4242927239809319
1666089460395334716,0.0,0.0,0.0,0.0,0.0,-0.4242927239809319
1666089460445147944,0.0,0.0,0.0,0.0,0.0,-0.3908351942209196
1666089460495190291,0.0,0.0,0.0,0.0,0.0,-0.3908351942209196
1666089460545236320,0.0,0.0,0.0,0.0,0.0,-0.3712645831612666
1666089460595199587,0.0,0.0,0.0,0.0,0.0,-0.3582207041777944
1666089460644873376,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089460694766667,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089460745378226,0.0,0.0,0.0,0.0,0.0,-0.3509215040458393
1666089460796099548,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089460844873431,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089460895910511,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089460944945209,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089460994720456,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089461044813995,0.0,0.0,0.0,0.0,0.0,-0.3379330774230671
1666089461096049083,0.0,0.0,0.0,0.0,0.0,-0.3379330774230671
1666089461144852252,0.0,0.0,0.0,0.0,0.0,-0.33828328202777913
1666089461194794437,0.0,0.0,0.0,0.0,0.0,-0.33828328202777913
1666089461245065237,0.0,0.0,0.0,0.0,0.0,-0.3337905186983721
1666089461294881696,0.0,0.0,0.0,0.0,0.0,-0.3305812227676979
1666089461344727420,0.0,0.0,0.0,0.0,0.0,-0.3305812227676979
1666089461395296904,0.0,0.0,0.0,0.0,0.0,-0.32520101895603426
1666089461444998090,0.0,0.0,0.0,0.0,0.0,-0.32520101895603426
1666089461494787324,0.0,0.0,0.0,0.0,0.0,-0.3346251503135821
1666089461544756656,0.0,0.0,0.0,0.0,0.0,-0.3346251503135821
1666089461594869648,0.0,0.0,0.0,0.0,0.0,-0.33697991061297605
1666089461645486991,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089461695525839,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089461744857238,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089461795416337,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089461844819343,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089461894933261,0.0,0.0,0.0,0.0,0.0,-0.35457789444969606
1666089461944893100,0.0,0.0,0.0,0.0,0.0,-0.35457789444969606
1666089461995046087,0.0,0.0,0.0,0.0,0.0,-0.36269622098052334
1666089462045131921,0.0,0.0,0.0,0.0,0.0,-0.3684643611552375
1666089462095134561,0.0,0.0,0.0,0.0,0.0,-0.3684643611552375
1666089462145274807,0.0,0.0,0.0,0.0,0.0,-0.3734260339836449
1666089462195481945,0.0,0.0,0.0,0.0,0.0,-0.3734260339836449
1666089462244711596,0.0,0.0,0.0,0.0,0.0,-0.3844792728993898
1666089462295473491,0.0,0.0,0.0,0.0,0.0,-0.3849751714707308
1666089462344971379,0.0,0.0,0.0,0.0,0.0,-0.39899333824723626
1666089462394823401,0.0,0.0,0.0,0.0,0.0,-0.39899333824723626
1666089462445871213,0.0,0.0,0.0,0.0,0.0,-0.39899333824723626
1666089462494832635,0.0,0.0,0.0,0.0,0.0,-0.4138468166716977
1666089462544819751,0.0,0.0,0.0,0.0,0.0,-0.4122768713527829
1666089462595420973,0.0,0.0,0.0,0.0,0.0,-0.42311206714639893
1666089462644875936,0.0,0.0,0.0,0.0,0.0,-0.42017081556048874
1666089462695006840,0.0,0.0,0.0,0.0,0.0,-0.42017081556048874
1666089462745056407,0.0,0.0,0.0,0.0,0.0,-0.4032730794051606
1666089462794842125,0.0,0.0,0.0,0.0,0.0,-0.4032730794051606
1666089462845385622,0.0,0.0,0.0,0.0,0.0,-0.39682825998899873
1666089462895176199,0.0,0.0,0.0,0.0,0.0,-0.39305318390613125
1666089462944896492,0.0,0.0,0.0,0.0,0.0,-0.3847561146408996
1666089462995280137,0.0,0.0,0.0,0.0,0.0,-0.3847561146408996
1666089463044785667,0.0,0.0,0.0,0.0,0.0,-0.3633291024553182
1666089463094961530,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089463144917287,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089463195171311,0.0,0.0,0.0,0.0,0.0,-0.32726122505607486
1666089463244882445,0.0,0.0,0.0,0.0,0.0,-0.32726122505607486
1666089463296042097,0.0,0.0,0.0,0.0,0.0,-0.31502767058280484
1666089463344971135,0.0,0.0,0.0,0.0,0.0,-0.31502767058280484
1666089463395035286,0.0,0.0,0.0,0.0,0.0,-0.2993868792555913
1666089463444824090,0.0,0.0,0.0,0.0,0.0,-0.28245356493302326
1666089463494921668,0.015,0.0,0.0,0.0,0.0,-0.27684102953427087
1666089463544855842,0.03,0.0,0.0,0.0,0.0,-0.27122849413551847
1666089463594840323,0.045,0.0,0.0,0.0,0.0,-0.2656159587367661
1666089463645445557,0.06,0.0,0.0,0.0,0.0,-0.2570247689271903
1666089463695566929,0.075,0.0,0.0,0.0,0.0,-0.24843357911761452
1666089463744865144,0.09,0.0,0.0,0.0,0.0,-0.23984238930803875
1666089463794864071,0.105,0.0,0.0,0.0,0.0,-0.23178539079229768
1666089463844879683,0.12,0.0,0.0,0.0,0.0,-0.22804718709158017
1666089463894809909,0.135,0.0,0.0,0.0,0.0,-0.22430898339086267
1666089463944778034,0.15000000000000002,0.0,0.0,0.0,0.0,-0.22075174677435258
1666089463995224556,0.16500000000000004,0.0,0.0,0.0,0.0,-0.2173042744945419
1666089464045282779,0.18000000000000005,0.0,0.0,0.0,0.0,-0.21385680221473122
1666089464094909939,0.19500000000000006,0.0,0.0,0.0,0.0,-0.21040932993492054
1666089464144967517,0.21000000000000008,0.0,0.0,0.0,0.0,-0.20706458940908168
1666089464194874569,0.2250000000000001,0.0,0.0,0.0,0.0,-0.20380172547673595
1666089464245143453,0.2400000000000001,0.0,0.0,0.0,0.0,-0.20063511737506223
1666089464294718802,0.2550000000000001,0.0,0.0,0.0,0.0,-0.19746850927338852
1666089464344795820,0.27000000000000013,0.0,0.0,0.0,0.0,-0.19443440815081436
1666089464394769951,0.28500000000000014,0.0,0.0,0.0,0.0,-0.19360903120720194
1666089464448341691,0.30000000000000016,0.0,0.0,0.0,0.0,-0.1927836542635895
1666089464494738848,0.31500000000000017,0.0,0.0,0.0,0.0,-0.19196806367676864
1666089464545549775,0.3300000000000002,0.0,0.0,0.0,0.0,-0.19115904774356038
1666089464595270181,0.3450000000000002,0.0,0.0,0.0,0.0,-0.19025889437491403
1666089464644783112,0.3600000000000002,0.0,0.0,0.0,0.0,-0.18935874100626768
1666089464694829280,0.3750000000000002,0.0,0.0,0.0,0.0,-0.19781025368804803
1666089464745393977,0.39000000000000024,0.0,0.0,0.0,0.0,-0.19630511474772483
1666089464794825850,0.40500000000000025,0.0,0.0,0.0,0.0,-0.19479997580740163
1666089464844681283,0.42000000000000026,0.0,0.0,0.0,0.0,-0.19329483686707843
1666089464895249084,0.4350000000000003,0.0,0.0,0.0,0.0,-0.20636324060096523
1666089464944955747,0.4500000000000003,0.0,0.0,0.0,0.0,-0.2195057833140504
1666089464994795046,0.4650000000000003,0.0,0.0,0.0,0.0,-0.2326483260271356
1666089465045435954,0.4800000000000003,0.0,0.0,0.0,0.0,-0.24321808367680736
1666089465095094223,0.49500000000000033,0.0,0.0,0.0,0.0,-0.25378784132647914
1666089465145330471,0.5100000000000003,0.0,0.0,0.0,0.0,-0.26443420964856035
1666089465194716731,0.5250000000000004,0.0,0.0,0.0,0.0,-0.27508057797064156
1666089465244668506,0.5400000000000004,0.0,0.0,0.0,0.0,-0.259165751078551
1666089465294960814,0.5550000000000004,0.0,0.0,0.0,0.0,-0.24310783743373085
1666089465344763469,0.5700000000000004,0.0,0.0,0.0,0.0,-0.2270499237889107
1666089465394783079,0.5850000000000004,0.0,0.0,0.0,0.0,-0.21099201014409055
1666089465445052562,0.6000000000000004,0.0,0.0,0.0,0.0,-0.18985943282639403
1666089465494876386,0.6108788251876831,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465544826745,0.6108788251876831,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465595293518,0.6037368774414061,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465644979360,0.6000024080276489,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465694922097,0.5610756278038025,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465744812899,0.5610756278038025,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465794770283,0.5610756278038025,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465845533380,0.5760756278038025,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465894752735,0.5775466561317444,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465944865327,0.5649810433387756,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089465994989029,0.5647677779197692,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089466044881458,0.5532886385917664,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089466094812367,0.4807731509208679,0.0,0.0,0.0,0.0,-0.032514140009880066
1666089466144724326,0.4807731509208679,0.0,0.0,0.0,0.0,-0.032514140009880066
1666089466194734405,0.4807731509208679,0.0,0.0,0.0,0.0,-0.032514140009880066
1666089466245973118,0.49577315092086793,0.0,0.0,0.0,0.0,-0.07878138591804129
1666089466294734567,0.5022111535072327,0.0,0.0,0.0,0.0,-0.14456860721111298
1666089466344842168,0.5022111535072327,0.0,0.0,0.0,0.0,-0.14456860721111298
1666089466394887411,0.4925524294376373,0.0,0.0,0.0,0.0,-0.15070290863513947
1666089466444924466,0.4869414865970611,0.0,0.0,0.0,0.0,-0.15395760536193848
1666089466494854458,0.4869414865970611,0.0,0.0,0.0,0.0,-0.15395760536193848
1666089466545083942,0.48013004660606384,0.0,0.0,0.0,0.0,-0.15724904835224152
1666089466595101769,0.47745198011398315,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089466644883570,0.4779171842983527,0.0,0.0,0.0,0.0,-0.27453292519943345
1666089466694681129,0.4783823884827223,0.0,0.0,0.0,0.0,-0.3745329251994335
1666089466745023958,0.47958254515309895,0.0,0.0,0.0,0.0,-0.47453292519943346
1666089466795086510,0.48017141222953796,0.0,0.0,0.0,0.0,-0.5235987755982994
1666089466844936668,0.47698495822699777,0.0,0.0,0.0,0.0,-0.6235987755982993
1666089466894811842,0.4707316756248474,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089466944749978,0.4710870385169983,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089466994842897,0.4710870385169983,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089467044970060,0.4611314535140991,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089467094797738,0.4611314535140991,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089467144756772,0.4611314535140991,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089467195057677,0.37468406558036804,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089467245377711,0.38968406558036806,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089467294746790,0.40468406558036807,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089467344880216,0.4196840655803681,0.0,0.0,0.0,0.0,-0.6348579003455868
