%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666091025968593161,0.0,0.0,0.0,0.0,0.0,0.0
1666091025988570004,0.0,0.0,0.0,0.0,0.0,0.0
1666091026009481046,0.0,0.0,0.0,0.0,0.0,0.0
1666091026029509725,0.0,0.0,0.0,0.0,0.0,0.0
1666091026049522567,0.0,0.0,0.0,0.0,0.0,0.0
1666091026069505837,0.0,0.0,0.0,0.0,0.0,0.0
1666091026088501582,0.0,0.0,0.0,0.0,0.0,0.0
1666091026108489707,0.0,0.0,0.0,0.0,0.0,0.0
1666091026128474546,0.0,0.0,0.0,0.0,0.0,0.0
1666091026172040624,0.0,0.0,0.0,0.0,0.0,0.0
1666091026172059478,0.0,0.0,0.0,0.0,0.0,0.0
1666091026220041034,0.0,0.0,0.0,0.0,0.0,0.0
1666091026220052964,0.0,0.0,0.0,0.0,0.0,0.0
1666091026264038669,0.0,0.0,0.0,0.0,0.0,0.0
1666091026264048395,0.0,0.0,0.0,0.0,0.0,0.0
1666091026308046631,0.0,0.0,0.0,0.0,0.0,-0.023561944901923447
1666091026308058005,0.0,0.0,0.0,0.0,0.0,-0.023736477827122886
1666091026352039159,0.0,0.0,0.0,0.0,0.0,-0.032812189937493394
1666091026352052862,0.0,0.0,0.0,0.0,0.0,-0.03717551306747922
1666091026352063736,0.002132302208337933,0.0,0.0,0.0,0.0,-0.046774823953448036
1666091026396054218,0.002132302208337933,0.0,0.0,0.0,0.0,-0.053930673886624786
1666091026396070746,0.0,0.0,0.0,0.0,0.0,-0.03717551306747922
1666091026409371645,0.0,0.0,0.0,0.0,0.0,-0.012391837689159739
1666091026429406121,0.0,0.0,0.0,0.0,0.0,0.0
1666091026476031780,0.0,0.0,0.0,0.0,0.0,0.0
1666091026476040070,0.0,0.0,0.0,0.0,0.0,0.0
1666091026520067851,0.0,0.0,0.0,0.0,0.0,0.0
1666091026520076536,0.0,0.0,0.0,0.0,0.0,0.0
1666091026564049807,0.0,0.0,0.0,0.0,0.0,-0.012740903539558606
1666091026564058625,0.0,0.0,0.0,0.0,0.0,-0.014660765716752367
1666091026608060889,0.0,0.0,0.0,0.0,0.0,-0.01832595714594046
1666091026608069156,0.0,0.0,0.0,0.0,0.0,-0.014835298641951801
1666091026656058099,0.0,0.0,0.0,0.0,0.0,-0.007330382858376183
1666091026656077355,0.0,0.0,0.0,0.0,0.0,0.0
1666091026656083268,0.002132302208337933,0.0,0.0,0.0,0.0,0.0
1666091026700038620,0.0,0.0,0.0,0.0,0.0,-0.006632251157578452
1666091026700048363,0.002132302208337933,0.0,0.0,0.0,0.0,-0.01064650843716541
