%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666091039579266436,0.4702487885951996,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091039667997976,0.4735040068626404,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091039788791007,0.4773575067520141,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091039835858261,0.3502953350543975,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091039888896741,0.4798639118671417,0.0,0.0,0.0,0.0,-1.3962634015954642
1666091040006750451,0.4858916997909546,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040073037067,0.4848488569259643,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040092520688,0.48356947302818293,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040194304931,0.48202818632125854,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040240755872,0.48107519745826716,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040311409408,0.47209161520004267,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040347860950,0.4716651737689972,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040479128053,0.46947982907295227,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040527929113,0.336681455373764,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040574034513,0.4608322083950043,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040688963777,0.455361545085907,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040792126012,0.44714394211769104,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040821953574,0.4468596577644348,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040929700285,0.4392245411872863,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091040947534635,0.4388691484928131,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091041032630209,0.43260475993156433,0.0,0.0,0.0,0.0,-1.2217304763960313
1666091041110307092,0.423038363456726,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091041164076398,0.4228251278400421,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091041242273019,0.4136498272418976,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091041295390618,0.4073401093482971,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091041337040202,0.40748223662376404,0.0,0.0,0.0,0.0,-1.0471975511965983
1666091041423633423,0.28691327571868896,0.0,0.0,0.0,0.0,-0.8726646259971653
1666091041481002457,0.29090946912765503,0.0,0.0,0.0,0.0,-0.6981317007977323
1666091041590980635,0.39529761672019953,0.0,0.0,0.0,0.0,-0.18216998875141144
1666091041628600979,0.0,0.0,0.0,0.0,0.0,-0.5266672652713846
1666091041674708543,0.0,0.0,0.0,0.0,0.0,-0.46102166320538607
1666091041760938110,0.0,0.0,0.0,0.0,0.0,-0.3997720745592421
