%time,field.x,field.y,field.z
1663935905542400888,0.0,0.0,0.0
1663935905561919393,0.0,0.0,0.0
1663935905581778134,0.0,0.0,0.0
1663935905601332287,0.0,0.0,0.0
1663935905621316768,0.0,0.0,0.0
1663935905642708218,0.0,0.0,0.0
1663935905662388591,0.0,0.0,0.0
1663935905682639028,0.0,0.0,0.0
1663935905702618395,0.0,0.0,0.0
1663935905743986085,0.0,0.0,0.0
1663935905743998743,0.0,0.0,0.0
1663935905788024434,0.0,0.0,0.0
1663935905788051065,0.0,0.0,0.0
1663935905832044933,0.0,0.0,0.0
1663935905832078255,0.0,0.0,0.0
1663935905875992248,0.0,0.0,0.0
1663935905876003651,0.0,0.0,0.0
1663935905920091602,0.0,0.0,0.0
1663935905920134328,0.0,0.0,0.0
1663935905964238545,0.0,0.0,0.0
1663935905964254565,0.0,0.0,0.0
1663935905964264550,0.0,0.0,0.0
1663935906008031655,0.0,0.0,0.0
1663935906008049614,0.0,0.0,0.0
1663935906022208880,0.0,0.0,0.0
1663935906042419876,0.0,0.0,0.0
1663935906087965366,0.0,0.0,0.0
1663935906087977278,0.0,0.0,0.0
1663935906135977292,0.0,0.0,0.0
1663935906135990439,0.0,0.0,0.0
1663935906179998390,0.0,0.0,0.0
1663935906180020327,0.0,0.0,0.0
1663935906223981548,0.0,0.0,0.0
1663935906223996639,0.0,0.0,0.0
1663935906224001695,0.0,0.0,0.0
1663935906267965679,0.0,0.0,0.0
1663935906267975758,0.0,0.0,0.0
1663935906282197121,0.0,0.0,0.0
1663935906302374404,0.0,0.0,0.0
1663935906343972430,0.0,0.0,0.0
1663935906343983173,0.0,0.0,0.0
1663935906388139968,0.0,0.0,0.0
1663935906388164823,0.0,0.0,0.0
1663935906431988429,0.0,0.0,0.0
1663935906432005370,0.0,0.0,0.0
1663935906479960081,0.0,0.0,0.0
1663935906479969889,0.0,0.0,0.0
1663935906524006949,0.0,0.0,0.0
1663935906524026841,0.0,0.0,0.0
1663935906524034960,0.0,0.0,0.0
1663935906572033360,0.0,0.0,0.0
1663935906572054001,0.0,0.0,0.0
1663935906582044558,0.0,0.0,0.0
1663935906602845837,0.0,0.0,0.0
1663935906650355145,0.0,0.0,0.0
1663935906650380018,0.0,0.0,0.0
1663935906691991692,0.0,0.0,0.0
1663935906692008996,0.0,0.0,0.0
1663935906735966115,0.0,0.0,0.0
1663935906735978966,0.0,0.0,0.0
1663935906779972341,0.0,0.0,0.0
1663935906780004072,0.0,0.0,0.0
1663935906828014193,0.0,0.0,0.0
1663935906828030017,0.0,0.0,0.0
1663935906828038803,0.0,0.0,0.0
1663935906871952779,0.0,0.0,0.0
1663935906871963973,0.0,0.0,0.0
1663935906882991481,0.0,0.0,0.0
1663935906903231232,0.0,0.0,0.0
1663935906943950485,0.0,0.0,0.0
1663935906943961635,0.0,0.0,0.0
1663935907000874496,0.0,0.0,0.0
1663935907000886355,0.0,0.0,0.0
1663935907044138228,0.0,0.0,0.0
1663935907044153598,0.0,0.0,0.0
1663935907044160132,0.0,0.0,0.0
1663935907088042473,0.0,0.0,0.0
1663935907088056455,0.0,0.0,0.0
1663935907103427764,0.0,0.0,0.0
1663935907123116390,0.0,0.0,0.0
1663935907168416405,0.0,0.0,0.0
1663935907168462124,0.0,0.0,0.0
1663935907211965265,0.0,0.0,0.0
1663935907211978694,0.0,0.0,0.0
1663935907260032252,0.0,0.0,0.0
1663935907260044901,0.0,0.0,0.0
1663935907308017599,0.0,0.0,0.0
1663935907308037065,0.0,0.0,0.0
1663935907308048461,0.0,0.0,0.0
1663935907355976507,0.0,0.0,0.0
1663935907355990476,0.0,0.0,0.0
1663935907362867208,0.0,0.0,0.0
1663935907382954257,0.0,0.0,0.0
1663935907428139069,0.0,0.0,0.0
1663935907428158577,0.0,0.0,0.0
1663935907472004765,0.0,0.0,0.0
1663935907472022790,0.0,0.0,0.0
1663935907516135755,0.0,0.0,0.0
1663935907516166117,0.0,0.0,0.0
1663935907560082788,0.0,0.0,0.0
1663935907560119766,0.0,0.0,0.0
1663935907604088935,0.0,0.0,0.0
1663935907604127188,0.0,0.0,0.0
1663935907604137069,0.0,0.0,0.0
1663935907648051734,0.0,0.0,0.0
1663935907648070895,0.0,0.0,0.0
1663935907662878621,0.0,0.0,0.0
1663935907682609761,0.0,0.0,0.0
1663935907728068101,0.0,0.0,0.0
1663935907728083557,0.0,0.0,0.0
1663935907772105543,0.0,0.0,0.0
1663935907772133325,0.0,0.0,0.0
1663935907816002439,0.0,0.0,0.0
1663935907816013948,0.0,0.0,0.0
1663935907860021821,0.0,0.0,0.0
1663935907860040524,0.0,0.0,0.0
1663935907908146118,0.0,0.0,0.0
1663935907908177681,0.0,0.0,0.0
1663935907908216717,0.0,0.0,0.0
1663935907952107671,0.0,0.0,0.0
1663935907952135776,0.0,0.0,0.0
1663935907964112504,0.0,0.0,0.0
1663935907983724219,0.0,0.0,0.0
1663935908028058362,0.0,0.0,0.0
1663935908028085430,0.0,0.0,0.0
1663935908076078385,0.0,0.0,0.0
1663935908076092249,0.0,0.0,0.0
1663935908123998155,0.0,0.0,0.0
1663935908124017628,0.0,0.0,0.0
1663935908124024070,0.0,0.0,0.0
1663935908172070631,0.0,0.0,0.0
1663935908172091431,0.0,0.0,0.0
1663935908182810781,0.0,0.0,0.0
1663935908202698531,0.0,0.0,0.0
