%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1663935912429665693,0.015,0.0,0.0,0.0,0.0,0.000906671994624834
1663935912479809700,0.03,0.0,0.0,0.0,0.0,0.001813343989249668
1663935912529803324,0.045,0.0,0.0,0.0,0.0,0.002720015983874502
1663935912584291268,0.06,0.0,0.0,0.0,0.0,0.0036076435116135035
1663935912629675717,0.075,0.0,0.0,0.0,0.0,0.0018100155083728496
1663935912679649660,0.09,0.0,0.0,0.0,0.0,6.669740349363358e-08
1663935912729693520,0.105,0.0,0.0,0.0,0.0,-0.0018098821135658619
1663935912779548138,0.12,0.0,0.0,0.0,0.0,-0.0036198309245352176
1663935912834456578,0.135,0.0,0.0,0.0,0.0,-0.005710514639826646
1663935912879825082,0.15000000000000002,0.0,0.0,0.0,0.0,-0.007801198355118076
1663935912929576482,0.16500000000000004,0.0,0.0,0.0,0.0,-0.009891882070409506
1663935912979433491,0.18000000000000005,0.0,0.0,0.0,0.0,-0.011982565785700935
1663935913029571789,0.19500000000000006,0.0,0.0,0.0,0.0,-0.013925988651784684
1663935913079578664,0.21000000000000008,0.0,0.0,0.0,0.0,-0.015869411517868432
1663935913129511580,0.2250000000000001,0.0,0.0,0.0,0.0,-0.017812834383952182
1663935913179482347,0.2400000000000001,0.0,0.0,0.0,0.0,-0.019666646871651774
1663935913229662199,0.2550000000000001,0.0,0.0,0.0,0.0,-0.02154124637738505
1663935913279595825,0.27000000000000013,0.0,0.0,0.0,0.0,-0.023415845883118326
1663935913329548950,0.28500000000000014,0.0,0.0,0.0,0.0,-0.025457028049552802
1663935913379624267,0.30000000000000016,0.0,0.0,0.0,0.0,-0.02749821021598728
1663935913429779942,0.31500000000000017,0.0,0.0,0.0,0.0,-0.029539392382421755
1663935913479606250,0.3300000000000002,0.0,0.0,0.0,0.0,-0.03158057454885623
1663935913530260718,0.3450000000000002,0.0,0.0,0.0,0.0,-0.024563242012073237
1663935913580457365,0.3600000000000002,0.0,0.0,0.0,0.0,-0.017545909475290243
1663935913629660314,0.3750000000000002,0.0,0.0,0.0,0.0,-0.022898957579540972
1663935913679716715,0.39000000000000024,0.0,0.0,0.0,0.0,-0.028298870511916437
1663935913729762372,0.40500000000000025,0.0,0.0,0.0,0.0,-0.0336987834442919
1663935913779887408,0.42000000000000026,0.0,0.0,0.0,0.0,-0.04102609042030896
1663935913829522354,0.4350000000000003,0.0,0.0,0.0,0.0,-0.04835339739632603
1663935913879518791,0.4500000000000003,0.0,0.0,0.0,0.0,-0.0556807043723431
