%time,field.x,field.y,field.z
1666088410648123326,0.0,0.0,0.0
1666088410707211806,0.0,0.0,0.0
1666088410875907740,0.0,0.0,0.0
1666088410933136272,0.0,0.0,0.0
1666088410934164302,0.0,0.0,0.0
1666088411105189364,0.0,0.0,0.0
1666088411105632682,0.0,0.0,0.0
1666088411209624476,0.0,0.0,0.0
1666088411291766893,0.0,0.0,0.0
1666088411372115314,0.0,0.0,0.0
1666088411472272851,0.0,0.0,0.0
1666088411555904848,0.0,0.0,0.0
1666088411570864355,0.0,0.0,0.0
1666088411640781994,0.0,0.0,0.0
1666088411731454398,0.0,0.0,0.0
1666088411800067236,0.0,0.0,0.0
1666088411862524986,0.0,0.0,0.0
1666088411956025031,0.0,0.0,0.0
1666088412008256988,0.0,0.0,0.0
1666088412112412713,0.0,0.0,0.0
1666088412112453125,0.0,0.0,0.0
1666088412194512100,0.0,0.0,0.0
1666088412314211456,0.0,0.0,0.0
1666088412404251513,0.0,0.0,0.0
1666088412404404181,0.0,0.0,0.0
1666088412466046053,0.0,0.0,0.0
1666088412576007727,0.0,0.0,0.0
1666088412658910873,0.0,0.0,0.0
1666088412746326971,0.0,0.0,0.0
1666088412844257843,0.0,0.0,0.0
1666088412897732208,0.0,0.0,0.0
1666088412961371789,0.0,0.0,0.0
1666088413060030277,0.0,0.0,0.0
1666088413147103434,0.0,0.0,0.0
1666088413223170644,0.0,0.0,0.0
1666088413223353267,0.0,0.0,0.0
1666088413297314609,0.0,0.0,0.0
1666088413415215196,0.0,0.0,0.0
1666088413506705074,0.0,0.0,0.0
1666088413513116378,0.0,0.0,0.0
1666088413580027669,0.0,0.0,0.0
1666088413664780463,0.0,0.0,0.0
1666088413757128727,0.0,0.0,0.0
1666088413823031458,0.0,0.0,0.0
1666088413933142262,0.0,0.0,0.0
1666088414007199629,0.0,0.0,0.0
1666088414116910866,0.0,0.0,0.0
1666088414178644852,0.0,0.0,0.0
1666088414234053833,0.0,0.0,0.0
1666088414297471877,0.0,0.0,0.0
1666088414356330518,0.0,0.0,0.0
1666088414429828232,0.0,0.0,0.0
1666088414469792336,0.0,0.0,0.0
1666088414529589304,0.0,0.0,0.0
1666088414586083798,0.0,0.0,0.0
1666088414648997512,0.0,0.0,0.0
1666088414713668623,0.0,0.0,0.0
1666088414778904107,0.0,0.0,0.0
1666088414842650866,0.0,0.0,0.0
1666088414964425860,0.0,0.0,0.0
1666088415012365380,0.0,0.0,0.0
