%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666088494265565067,0.015,0.0,0.0,0.0,0.0,-0.004539979479028684
1666088494315079325,0.03,0.0,0.0,0.0,0.0,-0.009079958958057369
1666088494365120609,0.045,0.0,0.0,0.0,0.0,-0.031793512413267846
1666088494415429120,0.06,0.0,0.0,0.0,0.0,-0.054507065868478324
1666088494465100986,0.075,0.0,0.0,0.0,0.0,-0.07842043194808276
1666088494522687264,0.09,0.0,0.0,0.0,0.0,-0.1023337980276872
1666088494565241816,0.105,0.0,0.0,0.0,0.0,-0.14131392146531624
1666088494615031310,0.12,0.0,0.0,0.0,0.0,-0.18029404490294526
1666088494665125896,0.135,0.0,0.0,0.0,0.0,-0.2200679930589225
1666088494715276363,0.15000000000000002,0.0,0.0,0.0,0.0,-0.25984194121489973
1666088494765083426,0.16500000000000004,0.0,0.0,0.0,0.0,-0.30032902825414765
1666088494815033717,0.18000000000000005,0.0,0.0,0.0,0.0,-0.34081611529339556
1666088494865228526,0.19500000000000006,0.0,0.0,0.0,0.0,-0.38373216422853723
1666088494915105093,0.21000000000000008,0.0,0.0,0.0,0.0,-0.4266482131636789
1666088494964993448,0.2250000000000001,0.0,0.0,0.0,0.0,-0.46759021694368486
1666088495015554843,0.2400000000000001,0.0,0.0,0.0,0.0,-0.5086908164487253
1666088495065188206,0.2550000000000001,0.0,0.0,0.0,0.0,-0.5497914159537657
1666088495115272636,0.27000000000000013,0.0,0.0,0.0,0.0,-0.5817730172134813
1666088495165340393,0.28500000000000014,0.0,0.0,0.0,0.0,-0.615415242310032
1666088495215282016,0.30000000000000016,0.0,0.0,0.0,0.0,-0.6490574674065827
1666088495265136757,0.31500000000000017,0.0,0.0,0.0,0.0,-0.6838797232232006
1666088495316099361,0.3300000000000002,0.0,0.0,0.0,0.0,-0.7202257094484485
1666088495365033684,0.3450000000000002,0.0,0.0,0.0,0.0,-0.7565716956736965
1666088495415173841,0.3428210345186889,0.0,0.0,0.0,0.0,-0.8565716956736965
1666088495465123099,0.3406420690373776,0.0,0.0,0.0,0.0,-0.9565716956736965
1666088495515440613,0.3556420690373776,0.0,0.0,0.0,0.0,-0.9688616695469455
1666088495565338490,0.3706420690373776,0.0,0.0,0.0,0.0,-0.981427004903575
1666088495615122283,0.38564206903737763,0.0,0.0,0.0,0.0,-0.9939923402602046
1666088495665131374,0.40064206903737765,0.0,0.0,0.0,0.0,-1.0094244535797687
1666088495715053359,0.41564206903737766,0.0,0.0,0.0,0.0,-1.024856566899333
1666088495768343683,0.4306420690373777,0.0,0.0,0.0,0.0,-1.0464996052780808
1666088495815050921,0.3026212453842163,0.0,0.0,0.0,0.0,-1.0471975511965983
1666088495865152495,0.3176212453842163,0.0,0.0,0.0,0.0,-1.0471975511965983
1666088495915348859,0.33262124538421634,0.0,0.0,0.0,0.0,-1.0471975511965983
1666088495965232576,0.34762124538421635,0.0,0.0,0.0,0.0,-1.0471975511965983
1666088496015070123,0.36262124538421636,0.0,0.0,0.0,0.0,-1.0120345868677219
1666088496065054019,0.3776212453842164,0.0,0.0,0.0,0.0,-1.0215166949259724
1666088496115149378,0.29472219944000244,0.0,0.0,0.0,0.0,-0.8726646259971653
1666088496165118185,0.29472219944000244,0.0,0.0,0.0,0.0,-0.8726646259971653
1666088496215137698,0.2835704982280731,0.0,0.0,0.0,0.0,-0.6981317007977323
1666088496265080393,0.2835704982280731,0.0,0.0,0.0,0.0,-0.6981317007977323
1666088496315508585,0.2835704982280731,0.0,0.0,0.0,0.0,-0.6981317007977323
1666088496365080291,0.1335704982280731,0.0,0.0,0.0,0.0,-0.6645450673053456
1666088496415181275,0.0,0.0,0.0,0.0,0.0,-0.5235987755982994
1666088496465187117,0.0,0.0,0.0,0.0,0.0,-0.5235987755982994
1666088496515283111,0.0,0.0,0.0,0.0,0.0,-0.4706863970037693
1666088496565338003,0.0,0.0,0.0,0.0,0.0,-0.45559062370071285
1666088496615081852,0.0,0.0,0.0,0.0,0.0,-0.45559062370071285
1666088496664984999,0.0,0.0,0.0,0.0,0.0,-0.43945463370491933
1666088496715202809,0.0,0.0,0.0,0.0,0.0,-0.41820071144260945
1666088496765226764,0.0,0.0,0.0,0.0,0.0,-0.41820071144260945
1666088496815231714,0.0,0.0,0.0,0.0,0.0,-0.41820071144260945
1666088496865236038,0.0,0.0,0.0,0.0,0.0,-0.40946044279338606
1666088496915210551,0.0,0.0,0.0,0.0,0.0,-0.3658726254302446
1666088496965118719,0.0,0.0,0.0,0.0,0.0,-0.3658726254302446
1666088497015436288,0.0,0.0,0.0,0.0,0.0,-0.39421392834289204
1666088497065241009,0.0,0.0,0.0,0.0,0.0,-0.39421392834289204
1666088497115177717,0.0,0.0,0.0,0.0,0.0,-0.39421392834289204
1666088497165062293,0.0,0.0,0.0,0.0,0.0,-0.42245552690292887
1666088497215453112,0.0,0.0,0.0,0.0,0.0,-0.42245552690292887
1666088497265401583,0.0,0.0,0.0,0.0,0.0,-0.4297212959820694
1666088497315035034,0.0,0.0,0.0,0.0,0.0,-0.45831295561124974
1666088497365033705,0.0,0.0,0.0,0.0,0.0,-0.45831295561124974
