%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666089132723111398,0.4776013791561126,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089132815760236,0.4884234666824341,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089132900639742,0.4482821226119995,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089133050812923,0.4101621210575104,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133074110154,0.3939523100852966,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089133149406638,0.39947089552879333,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133250249002,0.4006288647651672,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089133284565285,0.25833100080490107,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089133355010113,0.39654931426048273,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133378072727,0.39569637179374695,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133463879489,0.24101758003234863,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089133543474752,0.38235157728195185,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133636026980,0.37544122338294983,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133724341254,0.36986321210861206,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133800917098,0.36827483773231506,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133893203307,0.37024787068367,0.0,0.0,0.0,0.0,-1.3962634015954642
1666089133978493923,0.2165645807981491,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089134079449353,0.21652446687221527,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089134188543094,0.36894422769546503,0.0,0.0,0.0,0.0,-1.2217304763960313
1666089134316753809,0.0,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089134379341326,0.0,0.0,0.0,0.0,0.0,-0.7621497063529247
1666089134528903021,0.0,0.0,0.0,0.0,0.0,-0.6064523343859112
1666089134577032250,0.0,0.0,0.0,0.0,0.0,-0.49150338133723354
1666089134625314205,0.0,0.0,0.0,0.0,0.0,-0.40050516877226117
1666089134702297104,0.0,0.0,0.0,0.0,0.0,-0.3048019556968594
1666089134793962928,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089134885140736,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089134961280150,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089135052775449,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089135102659700,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089135158086347,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089135221243007,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089135406300069,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089135451255449,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089135478667367,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089135568807459,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089135685087149,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089135729024289,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089135825242128,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089135914022323,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089135945857098,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089135993240477,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089136085548303,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089136122447199,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089136211025124,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089136301617668,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136416793056,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136469324375,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136514875145,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136610451745,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136638571115,0.0,0.0,0.0,0.0,0.0,0.23010869155855607
1666089136734009622,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136829179255,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136859423351,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089136947064231,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089137033601689,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089137079228549,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089137165234048,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089137246145845,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137293828988,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137338746457,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137437559973,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137466928740,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137553361197,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137650275473,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137693278993,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089137761012775,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089137852953744,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089137942109946,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089137978750831,0.0,0.0,0.0,0.0,0.0,-0.2268194649892369
1666089138074463525,0.0,0.0,0.0,0.0,0.0,-0.25529187614931526
1666089138121196565,0.0,0.0,0.0,0.0,0.0,-0.27278778600685694
1666089138180521414,0.0,0.0,0.0,0.0,0.0,-0.28871558984296464
1666089138241561470,0.0,0.0,0.0,0.0,0.0,-0.3016975083270826
1666089138333530621,0.0,0.0,0.0,0.0,0.0,-0.31499602498298485
1666089138421057611,0.0,0.0,0.0,0.0,0.0,-0.32187418579512256
1666089138465211455,0.0,0.0,0.0,0.0,0.0,-0.3234526318935915
1666089138541504284,0.0,0.0,0.0,0.0,0.0,-0.33261625471657175
1666089138586215617,0.0,0.0,0.0,0.0,0.0,-0.33516694911477696
1666089138674346127,0.0,0.0,0.0,0.0,0.0,-0.35328153698298054
1666089138719551390,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089138810592764,0.0,0.0,0.0,0.0,0.0,-0.3681059583138542
1666089138818144550,0.0,0.0,0.0,0.0,0.0,-0.3592852400785149
1666089138929077395,0.0,0.0,0.0,0.0,0.0,-0.3815464095575432
1666089138973082269,0.0,0.0,0.0,0.0,0.0,-0.38350814267659405
1666089139061432751,0.0,0.0,0.0,0.0,0.0,-0.39829414613111686
1666089139113135101,0.42257198691368103,0.0,0.0,0.0,0.0,-0.13928107917308807
1666089139184508368,0.3732735216617584,0.0,0.0,0.0,0.0,-0.029419776052236557
1666089139270968222,0.3886279463768005,0.0,0.0,0.0,0.0,-0.03667942062020302
1666089139320017177,0.47086101770401,0.0,0.0,0.0,0.0,-0.1536877304315567
1666089139409326039,0.49142885208129883,0.0,0.0,0.0,0.0,-0.16022661328315735
1666089139462091637,0.503057599067688,0.0,0.0,0.0,0.0,-0.1659027487039566
1666089139566729059,0.4432488679885864,0.0,0.0,0.0,0.0,-0.06517884135246277
1666089139657567664,0.5229358673095703,0.0,0.0,0.0,0.0,-0.1720171421766281
1666089139748457026,0.5331636667251587,0.0,0.0,0.0,0.0,-0.17389419674873352
1666089139865054734,0.5383567214012146,0.0,0.0,0.0,0.0,-0.17596696317195892
1666089139957134796,0.5530192255973816,0.0,0.0,0.0,0.0,-0.18047703802585602
1666089140001257024,0.552734911441803,0.0,0.0,0.0,0.0,-0.18016287684440613
1666089140095418487,0.562634289264679,0.0,0.0,0.0,0.0,-0.18448995053768158
1666089140103580150,0.5625631809234619,0.0,0.0,0.0,0.0,-0.184947207570076
1666089140212881491,0.5654951930046082,0.0,0.0,0.0,0.0,-0.1866796463727951
1666089140344795225,0.566983163356781,0.0,0.0,0.0,0.0,-0.18772777915000916
1666089140431422437,0.5648964643478394,0.0,0.0,0.0,0.0,-0.188520148396492
1666089140466401273,0.5643989443778991,0.0,0.0,0.0,0.0,-0.18869470059871674
1666089140511011821,0.5622650384902954,0.0,0.0,0.0,0.0,-0.18857932090759277
1666089140606177971,0.561085283756256,0.0,0.0,0.0,0.0,-0.18893136084079742
1666089140672373295,0.5599842667579651,0.0,0.0,0.0,0.0,-0.19060829281806946
1666089140688333474,0.5598421096801758,0.0,0.0,0.0,0.0,-0.19071300327777863
1666089140767305542,0.5627642869949341,0.0,0.0,0.0,0.0,-0.1932222843170166
1666089140856859215,0.5696408748626709,0.0,0.0,0.0,0.0,-0.19648633897304535
1666089140986204385,0.5761983394622803,0.0,0.0,0.0,0.0,-0.20012497901916504
1666089141032907145,0.5761035680770873,0.0,0.0,0.0,0.0,-0.2035464495420456
1666089141111438684,0.5784454941749572,0.0,0.0,0.0,0.0,-0.20904681086540222
1666089141244348442,0.5751232504844666,0.0,0.0,0.0,0.0,-0.21355165541172028
1666089141289948006,0.5722858309745789,0.0,0.0,0.0,0.0,-0.2193557620048523
1666089141330204769,0.5700640082359314,0.0,0.0,0.0,0.0,-0.2231898158788681
1666089141413455897,0.5661250352859496,0.0,0.0,0.0,0.0,-0.22729294002056122
1666089141499736404,0.5539615154266357,0.0,0.0,0.0,0.0,-0.2313283085823059
1666089141587459079,0.4497208297252655,0.0,0.0,0.0,0.0,-0.1451645940542221
1666089141668043263,0.5322493314743042,0.0,0.0,0.0,0.0,-0.23695498704910278
1666089141744266253,0.5210095643997192,0.0,0.0,0.0,0.0,-0.2484051138162613
1666089141801152530,0.5208674073219299,0.0,0.0,0.0,0.0,-0.24822010099887848
1666089141843852314,0.5128673911094666,0.0,0.0,0.0,0.0,-0.2527339458465576
1666089141966907856,0.5111706256866455,0.0,0.0,0.0,0.0,-0.2583750784397125
1666089142062031371,0.5111383199691772,0.0,0.0,0.0,0.0,-0.26342859864234924
1666089142103287450,0.39593160152435297,0.0,0.0,0.0,0.0,-0.182772696018219
1666089142188883601,0.5009540319442749,0.0,0.0,0.0,0.0,-0.267127126455307
1666089142309173925,0.49691501259803766,0.0,0.0,0.0,0.0,-0.5235987755982994
1666089142396227104,0.4910759031772613,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089142421413034,0.48972779512405396,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089142480074694,0.37584602832794184,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089142595684459,0.5013790726661682,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089142611279394,0.501308023929596,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089142743591118,0.5124455094337463,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089142794424704,0.5140107274055481,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089142816582585,0.5169765949249268,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089142960666498,0.5197027325630188,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089143003367526,0.5229334235191345,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089143127642738,0.5302229523658752,0.0,0.0,0.0,0.0,-1.0471975511965983
1666089143187078817,0.43731746077537537,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089143212762304,0.43724638223648066,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089143334605398,0.5454975962638855,0.0,0.0,0.0,0.0,-0.8726646259971653
1666089143410963943,0.5657327175140381,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089143510916558,0.5729333758354187,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089143548976734,0.5725069642066956,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089143636052077,0.524855375289917,0.0,0.0,0.0,0.0,-0.5235987755982994
1666089143727881275,0.600475013256073,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089143787352132,0.6012605428695679,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089143891558908,0.5792464017868042,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089143936652710,0.5874125957489014,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089144023840171,0.6037194728851318,0.0,0.0,0.0,0.0,-0.07705393433570862
1666089144126881975,0.5936054587364197,0.0,0.0,0.0,0.0,-0.053794506937265396
1666089144142956013,0.5926814675331115,0.0,0.0,0.0,0.0,-0.05260419100522995
1666089144226577190,0.5908575057983398,0.0,0.0,0.0,0.0,0.0624985545873642
1666089144303797119,0.5774631500244141,0.0,0.0,0.0,0.0,-0.03275980055332184
1666089144393294377,0.5623508095741272,0.0,0.0,0.0,0.0,-0.024354593828320503
1666089144523924280,0.5427154302597046,0.0,0.0,0.0,0.0,-0.021160269156098366
1666089144570416046,0.529518723487854,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089144624792365,0.5111749768257141,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089144687968340,0.5174426436424255,0.0,0.0,0.0,0.0,0.09806238859891891
1666089144775732461,0.4733490943908691,0.0,0.0,0.0,0.0,-0.011404779739677906
1666089144865157695,0.483886182308197,0.0,0.0,0.0,0.0,0.10213949531316757
1666089144907503676,0.43563076853752136,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089144988863457,0.41343995928764343,0.0,0.0,0.0,0.0,-0.013370023109018803
1666089145075447182,0.3927491009235382,0.0,0.0,0.0,0.0,-0.014706899411976337
1666089145119499053,0.3688951432704925,0.0,0.0,0.0,0.0,-0.01647139899432659
1666089145213078198,0.0,0.0,0.0,0.0,0.0,0.2359365835706608
1666089145222614219,0.0,0.0,0.0,0.0,0.0,0.23792436154342642
1666089145285255596,0.0,0.0,0.0,0.0,0.0,0.2462319135849583
1666089145373028322,0.0,0.0,0.0,0.0,0.0,0.25284798850344903
1666089145464921200,0.0,0.0,0.0,0.0,0.0,0.25598614645584067
1666089145556923338,0.0,0.0,0.0,0.0,0.0,0.2688367029329067
1666089145595254223,0.0,0.0,0.0,0.0,0.0,0.2643774912287691
1666089145624281491,0.0,0.0,0.0,0.0,0.0,0.26795921838707465
1666089145708633616,0.0,0.0,0.0,0.0,0.0,0.2767080694775682
1666089145800814120,0.0,0.0,0.0,0.0,0.0,0.2760572023433686
1666089145901451277,0.0,0.0,0.0,0.0,0.0,0.2801537528981098
1666089146024132805,0.0,0.0,0.0,0.0,0.0,0.2880769885846316
1666089146054598522,0.0,0.0,0.0,0.0,0.0,0.2743598411972155
1666089146141614427,0.0,0.0,0.0,0.0,0.0,0.27594861159929485
1666089146186340495,0.0,0.0,0.0,0.0,0.0,0.2713993053158328
1666089146236806928,0.4189521372318268,0.0,0.0,0.0,0.0,0.11583314836025238
1666089146307146837,0.3894513249397278,0.0,0.0,0.0,0.0,-0.003589421045035124
1666089146400431619,0.4024467170238495,0.0,0.0,0.0,0.0,-0.0018707617418840528
1666089146493187973,0.45694297552108765,0.0,0.0,0.0,0.0,0.11709422618150711
1666089146536550923,0.42784783244132996,0.0,0.0,0.0,0.0,0.0019468528917059302
1666089146606777923,0.43891236186027527,0.0,0.0,0.0,0.0,0.003666672855615616
1666089146653199556,0.44919559359550476,0.0,0.0,0.0,0.0,0.004914689343422651
1666089146739550535,0.4591937065124511,0.0,0.0,0.0,0.0,0.005446996074169874
1666089146828456247,0.46632379293441767,0.0,0.0,0.0,0.0,0.0062494175508618355
1666089146949773214,0.4730326831340789,0.0,0.0,0.0,0.0,0.008040856570005417
1666089146990605971,0.4787430465221405,0.0,0.0,0.0,0.0,0.01025467086583376
1666089147081721246,0.5246028900146484,0.0,0.0,0.0,0.0,0.12122385948896408
1666089147167792607,0.5305374264717102,0.0,0.0,0.0,0.0,0.12175070494413376
1666089147213123477,0.4965848326683044,0.0,0.0,0.0,0.0,0.0140396011993289
1666089147226686459,0.49951231479644775,0.0,0.0,0.0,0.0,0.015540821477770805
1666089147336057569,0.49583819508552546,0.0,0.0,0.0,0.0,0.016757259145379066
1666089147427453382,0.4884610176086426,0.0,0.0,0.0,0.0,0.017586683854460716
1666089147549090802,0.4801764488220215,0.0,0.0,0.0,0.0,0.018974600359797478
1666089147592090660,0.4716063737869262,0.0,0.0,0.0,0.0,0.020954977720975876
1666089147685615917,0.4641572535037994,0.0,0.0,0.0,0.0,0.02312358282506466
1666089147812347683,0.45650151371955866,0.0,0.0,0.0,0.0,0.026312271133065224
1666089147889008306,0.45265609025955195,0.0,0.0,0.0,0.0,0.031829915940761566
1666089147958234332,0.4525739550590515,0.0,0.0,0.0,0.0,0.03540395200252533
1666089148106925185,0.45657241344451904,0.0,0.0,0.0,0.0,0.04023221507668495
1666089148152043395,0.4657256007194519,0.0,0.0,0.0,0.0,0.046877190470695496
1666089148234470017,0.4678802490234375,0.0,0.0,0.0,0.0,0.0533108189702034
1666089148320811310,0.4708980917930603,0.0,0.0,0.0,0.0,0.05967610329389572
1666089148466955420,0.4817456901073455,0.0,0.0,0.0,0.0,0.07456472516059875
1666089148493389255,0.4815324544906616,0.0,0.0,0.0,0.0,0.07445652037858963
1666089148601497747,0.4804710447788238,0.0,0.0,0.0,0.0,0.08829870074987411
1666089148624022169,0.48039996623992914,0.0,0.0,0.0,0.0,0.08826030045747757
1666089148714411296,0.5473858714103698,0.0,0.0,0.0,0.0,0.6981317007977313
1666089148834510021,0.461132526397705,0.0,0.0,0.0,0.0,0.6981317007977313
1666089148927969231,0.44957396388053894,0.0,0.0,0.0,0.0,0.6981317007977313
1666089149011257134,0.5217934250831604,0.0,0.0,0.0,0.0,0.6981317007977313
1666089149048723655,0.5188647508621216,0.0,0.0,0.0,0.0,0.6981317007977313
1666089149131519038,0.5206059217453003,0.0,0.0,0.0,0.0,0.8726646259971643
1666089149249348614,0.4285477697849273,0.0,0.0,0.0,0.0,0.6981317007977313
1666089149338549046,0.4316707551479339,0.0,0.0,0.0,0.0,0.8726646259971643
1666089149431291612,0.43943554162979126,0.0,0.0,0.0,0.0,0.8726646259971643
1666089149475939635,0.5272434949874878,0.0,0.0,0.0,0.0,0.8726646259971643
1666089149546824664,0.43698462843894953,0.0,0.0,0.0,0.0,0.6981317007977313
1666089149683539700,0.43446156382560724,0.0,0.0,0.0,0.0,0.6981317007977313
1666089149770916219,0.43034681677818293,0.0,0.0,0.0,0.0,0.6981317007977313
1666089149815607750,0.4943870604038238,0.0,0.0,0.0,0.0,0.5235987755982984
1666089149932223135,0.4329266250133514,0.0,0.0,0.0,0.0,0.3490658503988654
1666089150026896119,0.43340981006622314,0.0,0.0,0.0,0.0,0.17453292519943245
1666089150068259085,0.434049516916275,0.0,0.0,0.0,0.0,0.17453292519943245
1666089150156799050,0.45366981625556946,0.0,0.0,0.0,0.0,0.17453292519943245
1666089150196698930,0.4405268132686615,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089150274905915,0.4453305304050445,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089150326127923,0.448813259601593,0.0,0.0,0.0,0.0,-0.0752502828836441
1666089150415028513,0.44685396552085876,0.0,0.0,0.0,0.0,-0.087504081428051
1666089150448695581,0.4820207357406616,0.0,0.0,0.0,0.0,-0.08457775413990021
1666089150531285289,0.5114820003509521,0.0,0.0,0.0,0.0,-0.07967220991849899
1666089150650272470,0.5083737373352051,0.0,0.0,0.0,0.0,-0.09152694046497345
1666089150791248688,0.5042116045951843,0.0,0.0,0.0,0.0,-0.10157181322574615
1666089150839845143,0.4676069319248199,0.0,0.0,0.0,0.0,-0.11796077340841293
1666089150896857731,0.39799177646636963,0.0,0.0,0.0,0.0,-0.006766549311578274
1666089150913532454,0.3994133174419403,0.0,0.0,0.0,0.0,-0.006574563216418028
1666089151048013627,0.4351058900356293,0.0,0.0,0.0,0.0,-0.12803690135478973
1666089151151194749,0.43741175532341003,0.0,0.0,0.0,0.0,-0.1340527981519699
1666089151167332200,0.4371274411678314,0.0,0.0,0.0,0.0,-0.1339096873998642
1666089151213565811,0.3756607472896576,0.0,0.0,0.0,0.0,-0.024605875834822655
1666089151308306598,0.44352552294731135,0.0,0.0,0.0,0.0,-0.1415657103061676
1666089151400952864,0.44364479184150696,0.0,0.0,0.0,0.0,-0.14354990422725677
1666089151524719426,0.36877158284187317,0.0,0.0,0.0,0.0,-0.03568733483552933
1666089151564418165,0.43526807427406305,0.0,0.0,0.0,0.0,-0.15148448944091797
1666089151641029904,0.4303049147129059,0.0,0.0,0.0,0.0,-0.15428243577480316
1666089151647690520,0.43023383617401123,0.0,0.0,0.0,0.0,-0.1544150859117508
1666089151731681964,0.42422726750373835,0.0,0.0,0.0,0.0,-0.15711042284965515
1666089151812737593,0.4151900112628936,0.0,0.0,0.0,0.0,-0.15969310700893402
1666089151851891861,0.40749502182006836,0.0,0.0,0.0,0.0,-0.16222982108592987
1666089151938970762,0.40025269985198975,0.0,0.0,0.0,0.0,-0.1643349975347519
1666089152032141932,0.2942401468753814,0.0,0.0,0.0,0.0,-0.055780597031116486
1666089152113330655,0.0,0.0,0.0,0.0,0.0,-0.6240977656528991
1666089152129091440,0.0,0.0,0.0,0.0,0.0,-0.6441620606938113
1666089152242688762,0.0,0.0,0.0,0.0,0.0,-0.6981317007977323
1666089152277891822,0.0,0.0,0.0,0.0,0.0,-0.7096220249604916
1666089152367422237,0.0,0.0,0.0,0.0,0.0,-0.7472404583652469
1666089152453214234,0.0,0.0,0.0,0.0,0.0,-0.7722327077249308
1666089152484796625,0.0,0.0,0.0,0.0,0.0,-0.7785270263816365
1666089152583927434,0.0,0.0,0.0,0.0,0.0,-0.8222485343530075
1666089152616947570,0.0,0.0,0.0,0.0,0.0,-0.8121258573551353
1666089152749038050,0.0,0.0,0.0,0.0,0.0,-0.8183017829781397
