%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666089218352679159,0.015,0.0,0.0,0.0,0.0,-0.05072717270118864
1666089218402469884,0.03,0.0,0.0,0.0,0.0,-0.10429062529587732
1666089218452454632,0.045,0.0,0.0,0.0,0.0,-0.15785407789056602
1666089218503056876,0.06,0.0,0.0,0.0,0.0,-0.21734473263154303
1666089218552541061,0.075,0.0,0.0,0.0,0.0,-0.2893079521446576
1666089218602448309,0.09,0.0,0.0,0.0,0.0,-0.3612520354403097
1666089218652796828,0.105,0.0,0.0,0.0,0.0,-0.4331961187359618
1666089218702508401,0.112358696314856,0.0,0.0,0.0,0.0,-0.5331961187359618
1666089218752966878,0.127358696314856,0.0,0.0,0.0,0.0,-0.6029193041686526
1666089218803005829,0.14235869631485598,0.0,0.0,0.0,0.0,-0.6719234508675934
1666089218852377137,0.157358696314856,0.0,0.0,0.0,0.0,-0.7409275975665343
1666089218902492472,0.1594252597393445,0.0,0.0,0.0,0.0,-0.8409275975665342
1666089218952859629,0.16149182316383298,0.0,0.0,0.0,0.0,-0.9409275975665342
1666089219002508962,0.176491823163833,0.0,0.0,0.0,0.0,-0.9987641963404719
1666089219052983013,0.191491823163833,0.0,0.0,0.0,0.0,-1.0549187677445524
1666089219103326824,0.20649182316383302,0.0,0.0,0.0,0.0,-1.111073339148633
1666089219153536456,0.22149182316383303,0.0,0.0,0.0,0.0,-1.1672279105527135
1666089219202571382,0.23649182316383305,0.0,0.0,0.0,0.0,-1.221172118094279
1666089219253383441,0.25149182316383306,0.0,0.0,0.0,0.0,-1.2751163256358442
1666089219302668778,0.18937964517685424,0.0,0.0,0.0,0.0,-1.3751163256358443
1666089219352943454,0.20437964517685425,0.0,0.0,0.0,0.0,-1.3771939250563294
1666089219402655080,0.21937964517685427,0.0,0.0,0.0,0.0,-1.3792720750818868
1666089219452499862,0.23437964517685428,0.0,0.0,0.0,0.0,-1.381350225107444
1666089219502383898,0.2493796451768543,0.0,0.0,0.0,0.0,-1.3833772698143534
1666089219552521380,0.2643796451768543,0.0,0.0,0.0,0.0,-1.3854241491273875
1666089219602723452,0.2793796451768543,0.0,0.0,0.0,0.0,-1.3874710284404217
1666089219652468044,0.29437964517685433,0.0,0.0,0.0,0.0,-1.350500600554192
1666089219702482206,0.30937964517685435,0.0,0.0,0.0,0.0,-1.3135301726679622
1666089219752743253,0.15937964517685432,0.0,0.0,0.0,0.0,-1.0997803897343856
1666089219802824000,0.009379645176854301,0.0,0.0,0.0,0.0,-0.8860306068008091
1666089219852917601,0.0,0.0,0.0,0.0,0.0,0.0
1666089219902551494,0.0,0.0,0.0,0.0,0.0,-0.1
1666089219952562630,0.0,0.0,0.0,0.0,0.0,-0.2
1666089220002751750,0.0,0.0,0.0,0.0,0.0,-0.30000000000000004
1666089220052392163,0.0,0.0,0.0,0.0,0.0,-0.4
1666089220102531665,0.0,0.0,0.0,0.0,0.0,-0.40643328174404303
1666089220152606583,0.0,0.0,0.0,0.0,0.0,-0.40643328174404303
1666089220202718058,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089220252567223,0.0,0.0,0.0,0.0,0.0,-0.17453292519943345
1666089220303791586,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089220352799378,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089220402929348,0.0,0.0,0.0,0.0,0.0,0.0999999999999995
1666089220452616525,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089220502407517,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089220552999046,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089220603402754,0.0,0.0,0.0,0.0,0.0,0.27453292519943245
1666089220652490214,0.0,0.0,0.0,0.0,0.0,0.3182270809994975
1666089220702530347,0.0,0.0,0.0,0.0,0.0,0.3583391696913161
1666089220753965284,0.0,0.0,0.0,0.0,0.0,0.39071991954431123
1666089220802511139,0.0,0.0,0.0,0.0,0.0,0.39071991954431123
1666089220854834382,0.0,0.0,0.0,0.0,0.0,0.4212461136674401
1666089220902563031,0.0,0.0,0.0,0.0,0.0,0.4212461136674401
1666089220953204275,0.0,0.0,0.0,0.0,0.0,0.44243620801460065
1666089221002638553,0.0,0.0,0.0,0.0,0.0,0.44243620801460065
1666089221052743446,0.0,0.0,0.0,0.0,0.0,0.39620147900532543
1666089221102461960,0.0,0.0,0.0,0.0,0.0,0.39620147900532543
1666089221153011401,0.0,0.0,0.0,0.0,0.0,0.36365794682509794
1666089221202514334,0.0,0.0,0.0,0.0,0.0,0.36365794682509794
1666089221252469419,0.0,0.0,0.0,0.0,0.0,0.33238034847535775
1666089221302515752,0.0,0.0,0.0,0.0,0.0,0.3005511129044298
1666089221352403856,0.0,0.0,0.0,0.0,0.0,0.3005511129044298
1666089221402526657,0.0,0.0,0.0,0.0,0.0,0.3005511129044298
1666089221452773135,0.0,0.0,0.0,0.0,0.0,0.29812194479545606
1666089221502519570,0.0,0.0,0.0,0.0,0.0,0.29812194479545606
1666089221553741252,0.0,0.0,0.0,0.0,0.0,0.2674606649502153
1666089221602410659,0.0,0.0,0.0,0.0,0.0,0.2513505166823726
1666089221652568947,0.0,0.0,0.0,0.0,0.0,0.2513505166823726
1666089221703016750,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089221752464117,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089221802441682,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089221853360360,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089221902434158,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089221952398792,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089222002980219,0.0,0.0,0.0,0.0,0.0,0.17453292519943245
1666089222052583809,0.0,0.0,0.0,0.0,0.0,0.07453292519943244
1666089222102525860,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222152511447,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222202454675,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222252535966,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222303052186,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222352710316,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222402437624,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222454089390,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222502470578,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222553292362,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222602478652,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222652770603,0.0,0.0,0.0,0.0,0.0,-4.996003610813204e-16
1666089222702643750,0.0,0.0,0.0,0.0,0.0,-0.1000000000000005
1666089222752479328,0.0,0.0,0.0,0.0,0.0,-0.2000000000000005
1666089222802533456,0.0,0.0,0.0,0.0,0.0,-0.251093504857314
1666089222853080545,0.0,0.0,0.0,0.0,0.0,-0.251093504857314
1666089222903483025,0.0,0.0,0.0,0.0,0.0,-0.2899252458973004
1666089222952396336,0.0,0.0,0.0,0.0,0.0,-0.2899252458973004
1666089223002546988,0.0,0.0,0.0,0.0,0.0,-0.3170228206328101
1666089223052824597,0.0,0.0,0.0,0.0,0.0,-0.3170228206328101
1666089223102591991,0.0,0.0,0.0,0.0,0.0,-0.3490658503988664
1666089223152470391,0.0,0.0,0.0,0.0,0.0,-0.3651294280375737
1666089223202369960,0.0,0.0,0.0,0.0,0.0,-0.40996808385880623
1666089223252976717,0.0,0.0,0.0,0.0,0.0,-0.4015298253899326
1666089223303346203,0.0,0.0,0.0,0.0,0.0,-0.4015298253899326
1666089223356485797,0.0,0.0,0.0,0.0,0.0,-0.44243245902944667
1666089223402637469,0.0,0.0,0.0,0.0,0.0,-0.4522614852260033
1666089223452831068,0.0,0.0,0.0,0.0,0.0,-0.4522614852260033
1666089223502718366,0.0,0.0,0.0,0.0,0.0,-0.4522614852260033
1666089223553463423,0.0,0.0,0.0,0.0,0.0,-0.48156117338771603
1666089223602611846,0.0,0.0,0.0,0.0,0.0,-0.4784601080945529
1666089223653125948,0.0,0.0,0.0,0.0,0.0,-0.4898957170674077
1666089223703216050,0.015,0.0,0.0,0.0,0.0,-0.477987802891058
1666089223752903052,0.03,0.0,0.0,0.0,0.0,-0.46607988871470835
1666089223802537146,0.045,0.0,0.0,0.0,0.0,-0.45491155417184237
1666089223852557771,0.06,0.0,0.0,0.0,0.0,-0.4437432196289764
1666089223902447460,0.075,0.0,0.0,0.0,0.0,-0.4344878855478393
1666089223952608834,0.09,0.0,0.0,0.0,0.0,-0.4252325514667022
1666089224002858807,0.105,0.0,0.0,0.0,0.0,-0.4175802209404049
1666089224052546111,0.12,0.0,0.0,0.0,0.0,-0.4099278904141076
1666089224102537651,0.135,0.0,0.0,0.0,0.0,-0.4028612596933545
1666089224152668219,0.15000000000000002,0.0,0.0,0.0,0.0,-0.3957923571429428
1666089224202655043,0.16500000000000004,0.0,0.0,0.0,0.0,-0.38959303674019286
1666089224252522347,0.18000000000000005,0.0,0.0,0.0,0.0,-0.3833937163374429
1666089224302676323,0.19500000000000006,0.0,0.0,0.0,0.0,-0.3774667760807996
1666089224352745117,0.21000000000000008,0.0,0.0,0.0,0.0,-0.37187203754352743
1666089224402469903,0.2250000000000001,0.0,0.0,0.0,0.0,-0.3662772990062553
1666089224452669666,0.2400000000000001,0.0,0.0,0.0,0.0,-0.3606825604689831
1666089224502489252,0.2550000000000001,0.0,0.0,0.0,0.0,-0.36025253539625074
1666089224552740587,0.27000000000000013,0.0,0.0,0.0,0.0,-0.3598307003090122
1666089224603201336,0.28500000000000014,0.0,0.0,0.0,0.0,-0.35941762717551556
1666089224652490551,0.30000000000000016,0.0,0.0,0.0,0.0,-0.3590045540420189
1666089224702786371,0.15000000000000013,0.0,0.0,0.0,0.0,-0.17950227702100954
1666089224752600608,0.16500000000000015,0.0,0.0,0.0,0.0,-0.18443098202604882
1666089224802634000,0.18000000000000016,0.0,0.0,0.0,0.0,-0.18997117217423526
1666089224852559457,0.19500000000000017,0.0,0.0,0.0,0.0,-0.2000561889074465
1666089224902557360,0.2100000000000002,0.0,0.0,0.0,0.0,-0.21014120564065775
1666089224952761230,0.2250000000000002,0.0,0.0,0.0,0.0,-0.22014101726299032
1666089225002448324,0.2400000000000002,0.0,0.0,0.0,0.0,-0.2301408288853229
1666089225052562206,0.2550000000000002,0.0,0.0,0.0,0.0,-0.24014064050765546
1666089225102671279,0.27000000000000024,0.0,0.0,0.0,0.0,-0.24382894770145025
1666089225152649002,0.28500000000000025,0.0,0.0,0.0,0.0,-0.24751725489524504
1666089225202694805,0.30000000000000027,0.0,0.0,0.0,0.0,-0.25113114325083713
1666089225252834937,0.3150000000000003,0.0,0.0,0.0,0.0,-0.25475707778539697
1666089225302551930,0.3300000000000003,0.0,0.0,0.0,0.0,-0.2590160449241266
1666089225353410004,0.3450000000000003,0.0,0.0,0.0,0.0,-0.2692099282032192
1666089225402477352,0.3600000000000003,0.0,0.0,0.0,0.0,-0.2794038114823118
1666089225452477505,0.37500000000000033,0.0,0.0,0.0,0.0,-0.2895976947614044
1666089225502380514,0.39000000000000035,0.0,0.0,0.0,0.0,-0.299791578040497
1666089225552550168,0.40500000000000036,0.0,0.0,0.0,0.0,-0.30977325110884246
1666089225602458537,0.4200000000000004,0.0,0.0,0.0,0.0,-0.3197549241771879
1666089225652668621,0.4350000000000004,0.0,0.0,0.0,0.0,-0.3297365972455334
1666089225702551934,0.4500000000000004,0.0,0.0,0.0,0.0,-0.3389544584004626
1666089225757378403,0.4650000000000004,0.0,0.0,0.0,0.0,-0.34817231955539185
1666089225802625883,0.4800000000000004,0.0,0.0,0.0,0.0,-0.3571448486837309
1666089225852515453,0.49500000000000044,0.0,0.0,0.0,0.0,-0.36611737781207
1666089225902720495,0.5100000000000005,0.0,0.0,0.0,0.0,-0.3745439640685325
1666089225952548841,0.5250000000000005,0.0,0.0,0.0,0.0,-0.38297055032499505
1666089226002527683,0.5400000000000005,0.0,0.0,0.0,0.0,-0.39104507703004243
1666089226052675655,0.5550000000000005,0.0,0.0,0.0,0.0,-0.3879582720511113
