%time,field.linear.x,field.linear.y,field.linear.z,field.angular.x,field.angular.y,field.angular.z
1666091792132287483,0.0,0.0,0.0,0.0,0.0,0.0
1666091792152259046,0.0,0.0,0.0,0.0,0.0,0.0
1666091792172263480,0.0,0.0,0.0,0.0,0.0,0.0
1666091792192249179,0.0,0.0,0.0,0.0,0.0,-0.015184364492350668
1666091792213198234,0.0,0.0,0.0,0.0,0.0,-0.004363323129985824
1666091792232194718,0.0,0.0,0.0,0.0,0.0,0.0
1666091792252150358,0.0,0.0,0.0,0.0,0.0,0.0
1666091792272249901,0.0,0.0,0.0,0.0,0.0,0.0
1666091792292245451,0.0,0.0,0.0,0.0,0.0,0.0
1666091792336064229,0.0,0.0,0.0,0.0,0.0,0.0
1666091792336070923,-0.004264604416675866,0.0,0.0,0.0,0.0,0.0
1666091792384021027,-0.004264604416675866,0.0,0.0,0.0,0.0,0.0
1666091792384029455,-0.002132302208337933,0.0,0.0,0.0,0.0,-0.0031415926535897933
1666091792432034817,-0.002132302208337933,0.0,0.0,0.0,0.0,-0.008028514559173916
1666091792432043049,0.0,0.0,0.0,0.0,0.0,-0.01308996938995747
1666091792476028093,0.0,0.0,0.0,0.0,0.0,-0.017453292519943295
1666091792476036682,0.0,0.0,0.0,0.0,0.0,-0.01361356816555577
1666091792476045573,0.0,0.0,0.0,0.0,0.0,0.0
1666091792524037354,0.0,0.0,0.0,0.0,0.0,0.0
1666091792524052997,0.0,0.0,0.0,0.0,0.0,0.0
1666091792533026425,0.0,0.0,0.0,0.0,0.0,0.0
1666091792552972655,0.0,0.0,0.0,0.0,0.0,0.0
1666091792596059368,0.0,0.0,0.0,0.0,0.0,0.0
1666091792596068113,0.0,0.0,0.0,0.0,0.0,0.0
1666091792640040120,0.0,0.0,0.0,0.0,0.0,0.0
1666091792640050404,0.0,0.0,0.0,0.0,0.0,0.0
1666091792684031250,0.0,0.0,0.0,0.0,0.0,0.0
1666091792684043465,0.0,0.0,0.0,0.0,0.0,0.0
1666091792728027158,0.0,0.0,0.0,0.0,0.0,0.0
1666091792728044733,0.0,0.0,0.0,0.0,0.0,0.0
1666091792772031745,0.0,0.0,0.0,0.0,0.0,0.0
1666091792772036408,0.0,0.0,0.0,0.0,0.0,0.0
1666091792816022965,0.0,0.0,0.0,0.0,0.0,0.0
1666091792816037095,0.0,0.0,0.0,0.0,0.0,0.0
1666091792816053021,0.0,0.0,0.0,0.0,0.0,0.0
1666091792860032785,0.0,0.0,0.0,0.0,0.0,0.0
1666091792860040305,0.0,0.0,0.0,0.0,0.0,0.0
1666091792872886760,0.0,0.0,0.0,0.0,0.0,0.0
1666091792892876579,0.0,0.0,0.0,0.0,0.0,0.0
1666091792936019300,0.0,0.0,0.0,0.0,0.0,0.0
1666091792936027258,0.0,0.0,0.0,0.0,0.0,0.0
1666091792980020683,-0.002132302208337933,0.0,0.0,0.0,0.0,0.0
1666091792980031406,0.0,0.0,0.0,0.0,0.0,0.0
1666091793024091692,0.0,0.0,0.0,0.0,0.0,0.0
1666091793024103460,0.0,0.0,0.0,0.0,0.0,0.0
1666091793068048751,0.0,0.0,0.0,0.0,0.0,0.0
1666091793068058783,0.0,0.0,0.0,0.0,0.0,0.0
1666091793112061148,0.0,0.0,0.0,0.0,0.0,0.0
1666091793112072248,0.0,0.0,0.0,0.0,0.0,0.0
1666091793156115739,-0.002132302208337933,0.0,0.0,0.0,0.0,0.0
1666091793156129011,-0.004264604416675866,0.0,0.0,0.0,0.0,-0.01291543646475804
1666091793156136509,-0.008529208833351731,0.0,0.0,0.0,0.0,-0.01902408884673819
1666091793200046070,-0.008529208833351731,0.0,0.0,0.0,0.0,-0.034208453339088854
1666091793200058993,-0.006396906625013799,0.0,0.0,0.0,0.0,-0.043807764225057666
1666091793212732060,-0.010661511041689664,0.0,0.0,0.0,0.0,-0.05480333851262195
